elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778014495.395,8512,0.0,66.1,0
1778014497.407,2931200,95.5,66.1,0
1778014499.428,4534448,190.0,68.3,0
1778014501.448,4666544,251.0,71.05,0
1778014503.47,4666544,283.0,71.6,0
1778014505.5,4666544,299.0,72.15,0
1778014507.526,4666544,313.0,74.35,0
1778014509.547,4666544,321.0,73.25,0
1778014511.568,4666544,327.0,73.8,0
1778014513.588,4666544,333.0,74.35,0
1778014515.612,4666544,337.0,74.9,0
1778014517.627,4666544,340.0,73.8,0
1778014519.652,4718256,343.0,74.35,0
1778014521.671,4718256,347.0,74.9,0
1778014523.69,4720816,348.0,71.6,0
1778014525.708,4720816,349.0,71.6,0
1778014527.73,4720816,348.0,70.5,0
1778014529.754,4720816,348.0,68.3,0
1778014531.769,4720816,349.0,68.85,0
1778014533.791,4720816,349.0,69.95,0
1778014535.814,4720816,350.0,69.4,0
1778014537.836,4720816,350.0,68.3,0
1778014539.856,4720816,350.0,68.3,0
1778014541.886,4720816,351.0,68.85,0
1778014543.906,4720816,351.0,69.95,0
1778014545.931,4720816,351.0,69.95,0
1778014547.954,4720816,351.0,69.4,0
1778014549.976,4720816,351.0,68.85,0
1778014552.002,4720816,351.0,68.85,0
1778014554.032,4720816,352.0,68.85,0
1778014556.056,4720816,352.0,69.95,0
1778014558.079,4720816,352.0,68.3,0
1778014560.098,4720816,352.0,69.95,0
1778014562.122,4720816,352.0,68.85,0
1778014564.14,4720816,352.0,68.3,0
1778014566.154,4720816,352.0,68.85,0
1778014568.176,4777616,352.0,71.05,0
1778014570.204,4777616,353.0,71.6,0
1778014572.261,4777616,353.0,69.95,0
1778014574.276,4777616,353.0,69.95,0
1778014576.303,4777616,353.0,68.85,0
1778014578.323,4777616,353.0,70.5,0
1778014580.345,4777616,353.0,69.95,0
1778014582.376,4777616,354.0,68.85,0
1778014584.399,4777616,354.0,68.3,0
1778014586.421,4777616,354.0,69.4,0
1778014588.436,4777616,354.0,68.85,0
1778014590.455,4777616,354.0,69.4,0
1778014592.47,4777616,354.0,68.85,0
1778014594.52,4777616,354.0,69.95,0
1778014596.54,4777616,354.0,68.3,0
1778014598.591,4777616,354.0,69.95,0
1778014600.609,4777616,354.0,69.95,0
1778014602.666,4777616,354.0,69.4,0
1778014604.69,4777616,354.0,70.5,0
1778014606.733,4777616,354.0,69.4,0
1778014608.769,4777616,354.0,68.85,0
1778014610.794,4777616,354.0,70.5,0
1778014612.816,4833424,354.0,72.15,0
1778014614.84,4833424,355.0,74.35,0
1778014616.866,4833424,355.0,73.25,0
1778014618.888,4833424,355.0,76.0,0
1778014620.906,4833424,356.0,74.35,0
1778014622.931,4833424,356.0,76.0,0
1778014624.952,4833424,356.0,76.0,0
1778014626.978,4833424,356.0,76.0,0
1778014629.004,4833424,357.0,73.25,0
1778014631.026,4833424,357.0,74.35,0
1778014633.051,4885136,357.0,73.8,0
1778014635.076,4885136,358.0,74.35,0
1778014637.095,4885136,358.0,71.6,0
1778014639.116,4885136,358.0,71.6,0
1778014641.134,4885136,358.0,69.4,0
1778014643.147,4885136,358.0,68.85,0
1778014645.193,4885136,358.0,69.4,0
1778014647.212,4885136,358.0,70.5,0
1778014649.231,4885136,358.0,68.85,0
1778014651.258,4885136,358.0,68.85,0
1778014653.279,4885136,358.0,68.3,0
1778014655.298,4885136,358.0,69.95,0
1778014657.315,4941904,358.0,71.6,0
1778014659.342,4941904,358.0,72.7,0
1778014661.372,4941904,358.0,71.05,0
1778014663.392,4941904,358.0,74.9,0
1778014665.516,4941904,358.0,74.35,0
1778014667.547,4941904,359.0,75.45,0
1778014669.577,4941904,359.0,73.8,0
1778014671.593,4941904,359.0,74.35,0
1778014673.614,4941904,359.0,74.35,0
1778014675.642,4993104,359.0,75.45,0
1778014677.663,4993104,360.0,74.35,0
1778014679.701,4993104,360.0,71.05,0
1778014681.713,4993104,360.0,71.6,0
1778014683.729,4993104,360.0,70.5,0
1778014685.75,4993104,360.0,68.85,0
1778014687.775,4993104,360.0,68.85,0
1778014689.791,4993104,359.0,68.85,0
1778014691.811,4993104,359.0,69.95,0
1778014693.825,4993104,359.0,67.75,0
1778014695.844,4993104,359.0,68.85,0
1778014697.867,4993104,359.0,69.95,0
1778014699.881,4993104,359.0,69.4,0
1778014701.9,4993104,359.0,68.85,0
1778014703.924,4993104,359.0,68.85,0
1778014705.94,4993104,359.0,68.85,0
1778014707.961,4993104,359.0,69.4,0
1778014709.988,4993104,359.0,69.95,0
1778014712.005,4993104,359.0,68.85,0
1778014714.021,4993104,359.0,69.4,0
1778014716.048,4993104,359.0,69.95,0
1778014718.071,4993104,359.0,68.3,0
1778014720.091,5050352,359.0,68.85,0
1778014722.111,5050352,359.0,72.15,0
1778014724.125,5050352,359.0,72.15,0
1778014726.144,5050352,359.0,72.7,0
1778014728.165,5050352,359.0,74.35,0
1778014730.19,5050352,360.0,73.25,0
1778014732.209,5050352,360.0,74.35,0
1778014734.229,5102064,360.0,74.9,0
1778014736.245,5102064,360.0,71.6,0
1778014738.273,5102064,360.0,70.5,0
1778014740.29,5102064,360.0,68.85,0
1778014742.305,5102064,360.0,69.95,0
1778014744.328,5102064,360.0,69.4,0
1778014746.352,5102064,360.0,69.4,0
1778014748.37,5102064,360.0,69.4,0
1778014750.388,5102064,360.0,68.3,0
1778014752.407,5102064,360.0,68.85,0
1778014754.431,5102064,360.0,68.85,0
1778014756.452,5102064,360.0,67.2,0
1778014758.472,5102064,360.0,69.4,0
1778014760.496,5102064,360.0,68.85,0
1778014762.522,5102064,360.0,68.85,0
1778014764.549,5102064,360.0,68.3,0
1778014766.565,5102064,360.0,69.95,0
1778014768.583,5157104,360.0,73.25,0
1778014770.61,5157104,360.0,73.25,0
1778014772.638,5157104,360.0,74.9,0
1778014774.66,5157104,360.0,74.9,0
1778014776.684,5157104,360.0,74.35,0
1778014778.708,5157104,360.0,74.9,0
1778014780.83,5157104,360.0,74.9,0
1778014782.854,5157104,360.0,74.9,0
1778014784.878,5208304,361.0,75.45,0
1778014786.899,5208304,361.0,76.55,0
1778014788.917,5208304,361.0,73.25,0
1778014790.975,5208304,361.0,71.6,0
1778014792.992,5208304,361.0,70.5,0
1778014795.017,5208304,361.0,69.4,0
1778014797.031,5208304,361.0,69.4,0
1778014799.046,5208304,361.0,69.95,0
1778014801.066,5208304,361.0,70.5,0
1778014803.086,5208304,361.0,69.4,0
1778014805.124,5208304,361.0,68.85,0
1778014807.148,5208304,360.0,69.4,0
1778014809.164,5208304,360.0,68.85,0
1778014811.188,5264224,360.0,70.5,0
1778014813.21,5264224,361.0,73.25,0
1778014815.234,5264224,361.0,74.9,0
1778014817.262,5264224,361.0,73.25,0
1778014819.295,5264224,361.0,73.25,0
1778014821.322,5264224,361.0,74.35,0
1778014823.344,5264224,361.0,74.35,0
1778014825.368,5264224,361.0,74.9,0
1778014827.386,5264224,361.0,76.0,0
1778014829.407,5264224,361.0,74.35,0
1778014831.43,5315424,361.0,75.45,0
1778014833.452,5315424,361.0,72.15,0
