elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777966543.071,8016,0.0,54.0,0
1777966544.082,81920,98.0,54.55,0
1777966545.195,3590656,99.5,54.55,0
1777966546.223,4588704,156.0,58.95,0
1777966547.247,4602560,194.0,61.7,0
1777966548.266,4602560,232.0,65.55,0
1777966549.287,4602560,257.0,65.55,0
1777966550.311,4602560,276.0,66.65,0
1777966551.336,4654272,289.0,66.65,0
1777966552.363,4654272,300.0,69.4,0
1777966553.387,4654272,309.0,68.85,0
1777966554.404,4657344,313.0,67.2,0
1777966555.424,4657344,317.0,67.75,0
1777966556.44,4657344,320.0,66.65,0
1777966557.462,4845248,321.0,67.75,0
1777966558.491,4848320,324.0,68.85,0
1777966559.517,4848320,327.0,69.4,0
1777966560.538,4848320,331.0,71.05,0
1777966561.562,4848320,334.0,72.15,0
1777966562.585,4848320,336.0,72.15,0
1777966563.607,4848320,338.0,73.8,0
1777966564.63,4848320,339.0,72.7,0
1777966565.663,4848320,340.0,72.15,0
1777966566.683,4848320,342.0,74.35,0
1777966567.697,4848320,343.0,72.15,0
1777966568.721,4848320,344.0,72.15,0
1777966569.736,4848320,345.0,73.25,0
1777966570.759,4848320,346.0,73.25,0
1777966571.781,4848320,347.0,74.9,0
1777966572.8,4848320,348.0,72.7,0
1777966573.823,4848320,349.0,73.8,0
1777966574.848,4848320,350.0,74.35,0
1777966575.871,4848320,350.0,74.35,0
1777966576.895,4848320,351.0,75.45,0
1777966577.917,4848320,352.0,76.0,0
1777966578.947,4848320,352.0,74.9,0
1777966579.973,4848320,353.0,74.9,0
1777966580.997,4848320,353.0,75.45,0
1777966582.023,4849344,354.0,76.0,0
1777966583.045,4849344,354.0,77.1,0
1777966584.071,4849344,355.0,77.1,0
1777966585.097,4849344,356.0,77.1,0
1777966586.109,4849344,356.0,74.9,0
1777966587.232,4849344,356.0,74.9,0
1777966588.262,4849344,357.0,75.45,0
1777966589.29,4849344,357.0,73.25,0
1777966590.313,4849344,357.0,74.9,0
1777966591.327,4849344,358.0,76.0,0
1777966592.347,4849344,358.0,73.25,0
1777966593.369,4849344,358.0,74.35,0
1777966594.385,4849344,358.0,74.35,0
1777966595.407,4849344,358.0,73.25,0
1777966596.427,4849344,359.0,73.8,0
1777966597.457,4849344,359.0,73.25,0
1777966598.479,4849344,359.0,74.9,0
1777966599.506,4849344,360.0,74.9,0
1777966600.527,4849344,360.0,72.7,0
1777966601.548,4849344,360.0,73.25,0
1777966602.571,4849344,360.0,72.7,0
1777966603.596,4849344,360.0,72.7,0
1777966604.623,4849344,361.0,73.8,0
1777966605.648,4849344,361.0,74.35,0
1777966606.671,4849344,361.0,74.9,0
1777966607.697,4849344,361.0,72.7,0
1777966608.721,4849344,362.0,76.0,0
1777966609.747,4849344,362.0,73.25,0
1777966610.774,4849344,362.0,74.35,0
1777966611.799,4849344,362.0,74.35,0
1777966612.819,4849344,363.0,76.0,0
1777966613.84,4849344,363.0,74.9,0
1777966614.866,4849344,363.0,73.25,0
1777966615.891,4849344,363.0,75.45,0
1777966616.923,4849344,363.0,76.55,0
1777966617.937,4849344,363.0,73.8,0
1777966618.962,4849344,363.0,73.8,0
1777966619.987,4849344,364.0,73.8,0
1777966621.009,4849344,364.0,74.9,0
1777966622.039,4849344,364.0,74.35,0
1777966623.06,4849344,364.0,73.8,0
1777966624.09,4849344,364.0,74.9,0
1777966625.117,4849344,364.0,74.35,0
1777966626.141,4849344,364.0,74.9,0
1777966627.164,4901056,364.0,73.8,0
1777966628.187,4901056,365.0,75.45,0
1777966629.213,4901056,365.0,75.45,0
1777966630.232,4903616,365.0,73.25,0
1777966631.255,4903616,365.0,71.05,0
1777966632.27,4903616,365.0,72.15,0
1777966633.295,4903616,365.0,69.4,0
1777966634.316,4903616,365.0,69.4,0
1777966635.335,4903616,365.0,68.85,0
1777966636.35,4903616,364.0,69.4,0
1777966637.365,4903616,364.0,68.85,0
1777966638.391,4903616,364.0,69.95,0
1777966639.414,4903616,364.0,68.3,0
1777966640.441,4903616,364.0,67.75,0
1777966641.471,4903616,364.0,68.3,0
1777966642.497,4903616,364.0,68.3,0
1777966643.52,4903616,364.0,68.3,0
1777966644.536,4903616,364.0,67.75,0
1777966645.561,4903616,364.0,68.85,0
1777966646.582,4903616,364.0,68.85,0
1777966647.607,4903616,364.0,67.75,0
1777966648.626,4797824,363.0,67.75,0
