elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777966871.053,8016,0.0,66.65,0
1777966872.063,82432,98.0,65.0,0
1777966873.176,3645456,99.5,64.45,0
1777966874.195,4510080,160.0,66.65,0
1777966875.211,4525520,193.0,68.3,0
1777966876.239,4525520,230.0,68.85,0
1777966877.269,4525520,256.0,72.15,0
1777966878.299,4525520,275.0,71.6,0
1777966879.32,4577232,288.0,73.25,0
1777966880.338,4577232,298.0,73.25,0
1777966881.363,4577232,307.0,72.7,0
1777966882.379,4579792,312.0,70.5,0
1777966883.421,4579792,316.0,71.05,0
1777966884.452,4579792,319.0,69.95,0
1777966885.474,4764624,321.0,71.05,0
1777966886.495,4767696,324.0,72.7,0
1777966887.516,4767696,327.0,72.15,0
1777966888.545,4767696,331.0,73.25,0
1777966889.563,4767696,333.0,73.25,0
1777966890.59,4767696,336.0,74.35,0
1777966891.613,4767696,338.0,73.8,0
1777966892.64,4767696,339.0,74.9,0
1777966893.655,4767696,341.0,75.45,0
1777966894.673,4767696,341.0,74.35,0
1777966895.706,4767696,342.0,74.9,0
1777966896.722,4767696,343.0,74.9,0
1777966897.747,4767696,345.0,77.1,0
1777966898.77,4767696,346.0,76.55,0
1777966899.794,4767696,346.0,73.25,0
1777966900.819,4767696,348.0,76.55,0
1777966901.852,4767696,348.0,73.25,0
1777966902.877,4767696,349.0,74.35,0
1777966903.887,4767696,350.0,75.45,0
1777966904.907,4767696,350.0,72.7,0
1777966905.929,4767696,351.0,75.45,0
1777966906.964,4767696,352.0,73.25,0
1777966907.992,4767696,352.0,74.9,0
1777966909.017,4767696,353.0,74.35,0
1777966910.041,4768208,353.0,73.8,0
1777966911.07,4768208,354.0,75.45,0
1777966912.094,4768208,354.0,74.9,0
1777966913.121,4768208,355.0,75.45,0
1777966914.143,4768208,356.0,73.25,0
1777966915.168,4768208,356.0,76.0,0
1777966916.192,4768208,357.0,73.8,0
1777966917.223,4768208,357.0,74.35,0
1777966918.247,4768208,357.0,73.25,0
1777966919.272,4768208,358.0,76.0,0
1777966920.293,4768208,358.0,74.35,0
1777966921.325,4768208,358.0,74.9,0
1777966922.358,4768208,359.0,73.8,0
1777966923.374,4768208,359.0,74.35,0
1777966924.393,4768208,359.0,72.7,0
1777966925.419,4768208,359.0,73.8,0
1777966926.435,4768208,360.0,73.8,0
1777966927.459,4768208,360.0,73.8,0
1777966928.485,4768208,360.0,74.9,0
1777966929.505,4768208,361.0,74.9,0
1777966930.529,4768208,361.0,72.15,0
1777966931.555,4768208,361.0,73.8,0
1777966932.586,4768208,361.0,74.9,0
1777966933.604,4768208,361.0,71.6,0
1777966934.632,4768208,361.0,73.8,0
1777966935.652,4768208,362.0,74.35,0
1777966936.779,4768208,362.0,74.35,0
1777966937.801,4768208,362.0,73.25,0
1777966938.835,4768208,362.0,74.35,0
1777966939.858,4768208,363.0,74.35,0
1777966940.883,4768208,363.0,72.7,0
1777966941.906,4768208,363.0,74.35,0
1777966942.935,4768208,363.0,73.25,0
1777966943.958,4768208,363.0,74.9,0
1777966944.987,4768208,363.0,73.25,0
1777966946.015,4768208,364.0,73.25,0
1777966947.045,4768208,364.0,76.0,0
1777966948.069,4768208,364.0,74.9,0
1777966949.088,4768208,364.0,74.35,0
1777966950.118,4768208,364.0,75.45,0
1777966951.141,4768208,364.0,73.25,0
1777966952.173,4768208,364.0,73.8,0
1777966953.199,4768208,364.0,73.8,0
1777966954.224,4768208,365.0,74.9,0
1777966955.249,4768208,365.0,75.45,0
1777966956.277,4768208,365.0,75.45,0
1777966957.313,4768208,365.0,72.7,0
1777966958.335,4819920,365.0,73.25,0
1777966959.357,4819920,365.0,73.8,0
1777966960.385,4819920,366.0,74.9,0
1777966961.406,4819920,366.0,74.9,0
1777966962.46,4822992,366.0,72.15,0
1777966963.478,4822992,366.0,71.05,0
1777966964.502,4822992,366.0,69.95,0
1777966965.519,4822992,366.0,71.05,0
1777966966.535,4822992,365.0,69.4,0
1777966967.549,4822992,365.0,69.95,0
1777966968.575,4822992,365.0,69.95,0
1777966969.598,4822992,365.0,68.3,0
1777966970.631,4822992,365.0,68.85,0
1777966971.655,4822992,365.0,69.4,0
1777966972.68,4822992,365.0,68.3,0
1777966973.697,4822992,365.0,68.85,0
1777966974.719,4822992,365.0,67.75,0
1777966975.743,4822992,365.0,68.3,0
1777966976.76,4822992,364.0,67.2,0
