elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777967262.674,8016,0.0,66.1,0
1777967263.684,82416,98.0,63.9,0
1777967264.796,3430400,99.0,64.45,0
1777967265.822,4656496,149.0,66.1,0
1777967266.851,4670848,196.0,69.4,0
1777967267.874,4670848,234.0,69.95,0
1777967268.893,4670848,258.0,72.15,0
1777967269.911,4670848,276.0,71.6,0
1777967270.935,4722560,290.0,73.8,0
1777967271.955,4722560,301.0,73.25,0
1777967272.976,4722560,307.0,72.7,0
1777967273.993,4725632,312.0,72.15,0
1777967275.02,4725632,315.0,70.5,0
1777967276.036,4725632,318.0,69.95,0
1777967277.058,4808576,320.0,70.5,0
1777967278.08,4811136,323.0,71.05,0
1777967279.112,4811136,326.0,73.25,0
1777967280.129,4811136,330.0,74.35,0
1777967281.15,4811136,333.0,72.7,0
1777967282.177,4811136,335.0,73.25,0
1777967283.202,4811136,337.0,74.35,0
1777967284.231,4811136,338.0,73.8,0
1777967285.255,4811136,340.0,74.9,0
1777967286.282,4811136,341.0,74.35,0
1777967287.311,4811136,342.0,74.35,0
1777967288.333,4811136,344.0,74.9,0
1777967289.357,4811136,345.0,74.9,0
1777967290.383,4811136,346.0,73.8,0
1777967291.406,4811136,347.0,73.8,0
1777967292.432,4811136,348.0,74.9,0
1777967293.451,4811136,348.0,74.9,0
1777967294.477,4811136,349.0,74.35,0
1777967295.502,4811136,350.0,76.0,0
1777967296.529,4811136,351.0,74.35,0
1777967297.555,4811136,351.0,74.35,0
1777967298.579,4811136,352.0,73.8,0
1777967299.607,4811136,353.0,73.8,0
1777967300.631,4811136,353.0,73.8,0
1777967301.654,4811136,354.0,73.25,0
1777967302.675,4812160,354.0,75.45,0
1777967303.694,4812160,355.0,73.8,0
1777967304.722,4812160,355.0,74.35,0
1777967305.742,4812160,356.0,73.8,0
1777967306.763,4812160,356.0,73.8,0
1777967307.79,4812160,357.0,73.25,0
1777967308.816,4812160,357.0,75.45,0
1777967309.842,4812160,358.0,72.7,0
1777967310.867,4812160,358.0,72.7,0
1777967311.893,4812160,358.0,72.7,0
1777967312.919,4812160,359.0,71.6,0
1777967313.945,4812160,359.0,73.25,0
