elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777967536.037,8032,0.0,63.35,0
1777967537.046,82016,98.0,63.9,0
1777967538.06,3249760,99.5,62.8,0
1777967539.079,4656272,143.0,65.0,0
1777967540.107,4671680,191.0,69.4,0
1777967541.13,4671680,231.0,68.85,0
1777967542.151,4671680,257.0,69.95,0
1777967543.179,4671680,276.0,71.6,0
1777967544.201,4722880,289.0,72.15,0
1777967545.215,4722880,300.0,73.8,0
1777967546.235,4722880,310.0,74.35,0
1777967547.255,4725952,314.0,71.05,0
1777967548.273,4725952,318.0,69.4,0
1777967549.326,4725952,320.0,71.6,0
1777967550.351,4911808,321.0,70.5,0
1777967551.381,4914368,325.0,69.95,0
1777967552.408,4914368,328.0,72.15,0
1777967553.433,4914368,332.0,73.25,0
1777967554.461,4914880,335.0,73.8,0
1777967555.489,4914880,337.0,73.25,0
1777967556.512,4914880,339.0,74.9,0
1777967557.537,4914880,341.0,74.35,0
1777967558.561,4914880,343.0,74.35,0
1777967559.582,4914880,345.0,74.9,0
1777967560.606,4914880,346.0,75.45,0
1777967561.629,4914880,347.0,74.35,0
1777967562.652,4914880,349.0,76.55,0
1777967563.675,4914880,350.0,72.15,0
1777967564.701,4914880,351.0,73.25,0
1777967565.731,4914880,352.0,73.25,0
1777967566.759,4914880,353.0,73.25,0
1777967567.78,4914880,353.0,73.8,0
1777967568.806,4914880,354.0,73.25,0
1777967569.833,4914880,355.0,73.8,0
1777967570.858,4914880,356.0,74.9,0
1777967571.882,4914880,356.0,74.9,0
1777967572.901,4914880,357.0,73.8,0
1777967573.917,4914880,358.0,74.9,0
1777967574.939,4918464,358.0,74.9,0
1777967575.964,4918464,359.0,76.55,0
1777967576.989,4918464,360.0,74.35,0
1777967578.017,4918464,361.0,75.45,0
1777967579.034,4919488,361.0,74.35,0
1777967580.057,4919488,361.0,73.25,0
1777967581.074,4919488,362.0,72.15,0
1777967582.101,4919488,362.0,73.8,0
1777967583.126,4919488,362.0,73.25,0
1777967584.151,4919488,363.0,71.6,0
1777967585.173,4919488,363.0,74.9,0
1777967586.2,4919488,364.0,74.9,0
1777967587.227,4919488,364.0,72.7,0
1777967588.25,4919488,364.0,72.7,0
1777967589.272,4919488,365.0,72.7,0
1777967590.296,4919488,365.0,72.15,0
1777967591.323,4919488,365.0,71.6,0
1777967592.354,4919488,365.0,72.15,0
1777967593.379,4919488,365.0,73.25,0
1777967594.398,4919488,365.0,71.6,0
1777967595.429,4919488,366.0,74.35,0
1777967596.445,4919488,366.0,72.15,0
1777967597.469,4919488,366.0,72.15,0
1777967598.495,4921536,366.0,71.6,0
1777967599.516,4921536,366.0,72.15,0
1777967600.54,4921536,367.0,71.6,0
1777967601.565,4921536,367.0,73.25,0
1777967602.591,4921536,367.0,71.6,0
1777967603.611,4921536,367.0,71.6,0
1777967604.637,4921536,367.0,71.05,0
1777967605.678,4921536,367.0,71.6,0
1777967606.703,4921536,367.0,71.6,0
1777967607.726,4921536,368.0,71.05,0
1777967608.771,4921536,368.0,71.05,0
1777967609.795,4921536,368.0,70.5,0
1777967610.817,4921536,368.0,71.6,0
1777967611.856,4921536,368.0,71.05,0
1777967612.875,4921536,368.0,71.6,0
1777967613.905,4921536,368.0,71.05,0
1777967614.944,4921536,368.0,70.5,0
1777967615.971,4921536,368.0,70.5,0
1777967616.998,4921536,368.0,70.5,0
1777967618.034,4921536,368.0,69.4,0
1777967619.061,4921536,368.0,69.95,0
1777967620.09,4921536,368.0,69.95,0
1777967621.128,4921536,368.0,68.85,0
1777967622.149,4921536,368.0,70.5,0
1777967623.171,4921536,368.0,69.4,0
1777967624.203,4921536,368.0,70.5,0
1777967625.223,4921536,369.0,69.4,0
1777967626.255,4921536,369.0,71.6,0
1777967627.282,4921536,369.0,73.25,0
1777967628.305,4921536,369.0,72.7,0
1777967629.332,4921536,369.0,71.05,0
1777967630.361,4921536,369.0,69.95,0
1777967631.389,4921536,369.0,72.15,0
1777967632.414,4921536,369.0,71.6,0
1777967633.457,4921536,369.0,70.5,0
1777967634.481,4921536,369.0,71.6,0
1777967635.501,4921536,369.0,72.7,0
1777967636.529,4921536,369.0,72.15,0
1777967637.547,4921536,369.0,71.6,0
1777967638.575,4921536,369.0,71.6,0
1777967639.597,4921536,369.0,71.6,0
1777967640.625,4921536,370.0,72.15,0
1777967641.64,4921536,370.0,73.8,0
1777967642.666,4921536,370.0,72.15,0
1777967643.699,4921536,370.0,72.7,0
1777967644.722,4921536,370.0,73.8,0
1777967645.737,4921536,370.0,72.15,0
1777967646.759,4921536,370.0,71.6,0
1777967647.781,4921536,370.0,73.25,0
1777967648.81,4921536,370.0,73.25,0
1777967649.824,4921536,370.0,73.8,0
1777967650.843,4921536,370.0,73.25,0
1777967651.859,4951232,370.0,72.15,0
1777967652.883,4973248,370.0,74.9,0
1777967653.899,4973248,371.0,72.7,0
1777967654.921,4973248,371.0,73.8,0
1777967655.951,4973248,371.0,73.8,0
1777967656.97,4973248,371.0,73.25,0
1777967657.99,4973248,371.0,74.35,0
1777967659.016,4973248,371.0,74.9,0
1777967660.041,4973248,371.0,75.45,0
1777967661.064,4973248,371.0,76.0,0
1777967662.093,4973248,372.0,74.9,0
1777967663.125,4973248,372.0,75.45,0
1777967664.146,4973248,372.0,74.9,0
1777967665.167,4973248,372.0,75.45,0
1777967666.187,4973248,372.0,74.35,0
1777967667.213,4973248,372.0,74.9,0
1777967668.237,4973248,372.0,74.35,0
1777967669.258,4973248,372.0,73.8,0
1777967670.286,4973248,372.0,74.9,0
1777967671.315,4973248,372.0,74.35,0
1777967672.343,4973248,372.0,72.7,0
1777967673.367,4973248,372.0,74.9,0
1777967674.391,4973248,372.0,74.9,0
1777967675.415,4973248,372.0,72.7,0
1777967676.443,4973248,372.0,74.35,0
1777967677.466,4973248,372.0,73.8,0
1777967678.481,4973248,372.0,73.8,0
1777967679.511,4973248,372.0,72.7,0
1777967680.537,4973248,372.0,73.25,0
1777967681.565,4973248,372.0,76.0,0
1777967682.592,4973248,372.0,72.15,0
1777967683.619,4973248,372.0,73.25,0
1777967684.639,4973248,372.0,72.7,0
1777967685.662,4973248,372.0,72.15,0
1777967686.687,4973248,372.0,75.45,0
1777967687.7,4973248,372.0,75.45,0
1777967688.719,4973248,372.0,75.45,0
1777967689.744,4973248,372.0,74.35,0
1777967690.767,4973248,372.0,74.35,0
1777967691.794,4973248,372.0,73.25,0
1777967692.825,4973248,372.0,73.8,0
1777967693.854,4973248,372.0,73.8,0
1777967694.885,4973248,372.0,73.8,0
1777967695.901,4973248,372.0,73.8,0
1777967696.93,4973248,372.0,73.8,0
1777967697.956,4973248,372.0,73.25,0
1777967698.981,4973248,372.0,73.8,0
1777967699.999,4973248,372.0,73.8,0
1777967701.023,4973248,372.0,73.8,0
1777967702.058,4973248,372.0,73.8,0
1777967703.079,4973248,372.0,72.7,0
1777967704.095,5058240,372.0,72.7,0
1777967705.122,5058240,372.0,72.15,0
1777967706.147,5058240,372.0,73.25,0
1777967707.171,5058240,372.0,73.8,0
1777967708.193,5058240,372.0,74.9,0
1777967709.21,5060288,372.0,70.5,0
1777967710.233,5066224,372.0,69.4,0
1777967711.249,5066224,371.0,69.95,0
1777967712.268,5066224,371.0,68.85,0
1777967713.284,5066224,371.0,68.3,0
1777967714.3,5066496,370.0,68.85,0
1777967715.319,5106944,370.0,68.3,0
1777967716.348,5106944,370.0,67.75,0
1777967717.38,5106944,370.0,69.4,0
1777967718.396,5110016,369.0,67.75,0
1777967719.414,5114624,369.0,68.3,0
1777967720.435,5114624,369.0,67.2,0
1777967721.452,5114624,369.0,67.75,0
1777967722.471,5114624,368.0,67.75,0
1777967723.49,5114624,368.0,67.2,0
1777967724.504,5114624,368.0,67.2,0
1777967725.531,5114624,368.0,67.75,0
1777967726.555,5114624,367.0,67.2,0
1777967727.573,5114624,367.0,68.85,0
1777967728.589,5114624,367.0,68.3,0
