worker_id,ok,error,wall_sec,json_valid,decision,prompt_tokens,completion_tokens,content,job_index,host_label,repeat,model,config,type_k,type_v,ctx_size,concurrency,server_ctx_total,context_fill_ratio,raw_dir,memavailable_mb_before,memavailable_pct_before
1,True,,91.86589188899961,True,q4_0/q4_0,1602,39,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""cpu_only limits speed"",""next_action"":""deploy_q4_0""}",1,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,f16/f16,f16,f16,4096,1,4096,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0001_ctx4096_c1_r01_qwen35_4b_f16_f16,7660.734375,95.0028677946659
1,True,,99.98136110300402,True,q4_0/q4_0,1602,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""active kv pressure"",""next_action"":""monitor memory""}",2,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,4096,1,4096,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0002_ctx4096_c1_r01_qwen35_4b_q4_0_q4_0,7618.328125,94.47697625931065
1,True,,93.35309498500283,True,q4_0/q4_0,1602,37,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""cpu_only limits speed"",""next_action"":""monitor memory usage""}",3,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,4096,1,4096,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0003_ctx4096_c1_r01_qwen35_4b_tbq4_tbq4,7602.875,94.28533781846085
1,True,,92.5498948079985,True,q4_0/q4_0,1602,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor memory""}",4,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,q8_0/tbq4,q8_0,tbq4,4096,1,4096,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0004_ctx4096_c1_r01_qwen35_4b_q8_0_tbq4,7617.984375,94.47271332129377
2,True,,270.2636093170004,False,,1602,128,"{""decision"":""GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG",5,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,f16/f16,f16,f16,4096,2,8192,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0005_ctx4096_c2_r01_qwen35_4b_f16_f16,7597.8125,94.22255636766678
1,True,,270.8538183230048,False,,1602,128,"{
""decision"": ""candidate_q4.505.5.5.5.50505 cpu_only=true, ""
    																,
																				""evidence""
																				:
																				""decision: ""
					",5,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,f16/f16,f16,f16,4096,2,8192,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0005_ctx4096_c2_r01_qwen35_4b_f16_f16,7597.8125,94.22255636766678
2,True,,224.9646583959984,True,,1602,56,"{""decision""
                    :"""", ""evidence"": ""decision: {"" ,""caveats"" :"""", ""next_action"" :""{ "" }",6,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,4096,2,8192,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0006_ctx4096_c2_r01_qwen35_4b_q4_0_q4_0,7587.015625,94.08866135995474
1,True,,258.576480405005,False,,1602,128,"{""decision"":""GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG",6,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,4096,2,8192,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0006_ctx4096_c2_r01_qwen35_4b_q4_0_q4_0,7587.015625,94.08866135995474
1,True,,274.930340951003,False,,1602,128,"{""decision"":""GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG",7,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,4096,2,8192,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0007_ctx4096_c2_r01_qwen35_4b_tbq4_tbq4,7592.484375,94.15648082840512
2,True,,275.4841748980034,False,,1602,128,"{
""decision"":
""decision: { ""
 																			,
																				""evidence""
																				: ""decision: ""
																				,
																				""",7,raspberry_pi5_8gb_capacity_qwen,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,4096,2,8192,0.35,agent/results/20260505_pi_qwen_capacity_curve/raw/0007_ctx4096_c2_r01_qwen35_4b_tbq4_tbq4,7592.484375,94.15648082840512
