elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777968114.074,8544,0.0,55.1,0
1777968115.086,82416,99.0,55.65,0
1777968116.101,3236864,100.0,55.65,0
1777968117.123,4718960,141.0,60.05,0
1777968118.143,4734832,192.0,62.25,0
1777968119.165,4734832,231.0,66.1,0
1777968120.191,4734832,258.0,66.65,0
1777968121.205,4734832,276.0,66.65,0
1777968122.223,4786544,290.0,68.85,0
1777968123.247,4786544,301.0,69.95,0
1777968124.273,4786544,310.0,71.6,0
1777968125.299,4789104,314.0,68.3,0
1777968126.327,4789104,317.0,67.75,0
1777968127.349,4789104,319.0,68.3,0
1777968128.372,4975984,320.0,69.95,0
1777968129.393,4977008,323.0,71.05,0
1777968130.421,4977008,326.0,70.5,0
1777968131.458,4977008,330.0,73.25,0
1777968132.481,4977008,333.0,71.05,0
1777968133.504,4977008,335.0,73.25,0
1777968134.527,4977008,337.0,73.8,0
1777968135.553,4977008,339.0,74.9,0
1777968136.565,4977008,340.0,73.25,0
1777968137.594,4977008,342.0,75.45,0
1777968138.622,4977008,343.0,75.45,0
1777968139.647,4977008,343.0,73.8,0
1777968140.675,4977008,345.0,76.55,0
1777968141.701,4977008,345.0,74.35,0
1777968142.723,4977008,346.0,74.35,0
1777968143.746,4977008,347.0,74.9,0
1777968144.767,4977008,348.0,75.45,0
1777968145.794,4977008,349.0,75.45,0
1777968146.82,4977008,350.0,73.8,0
1777968147.848,4977008,350.0,75.45,0
1777968148.874,4977008,351.0,76.0,0
1777968149.897,4977008,352.0,74.35,0
1777968150.924,4977008,352.0,74.9,0
1777968151.949,4977008,353.0,73.8,0
1777968152.975,4978032,353.0,75.45,0
1777968154.001,4978032,354.0,75.45,0
1777968155.027,4978032,354.0,74.9,0
1777968156.049,4978032,355.0,76.0,0
1777968157.077,4978032,356.0,75.45,0
1777968158.107,4978032,356.0,74.9,0
1777968159.13,4978032,357.0,74.9,0
1777968160.145,4978032,357.0,76.0,0
1777968161.166,4978032,357.0,73.25,0
1777968162.19,4978032,357.0,76.55,0
1777968163.204,4978032,357.0,73.25,0
1777968164.228,4978032,358.0,73.25,0
1777968165.254,4978032,358.0,76.55,0
1777968166.283,4978032,358.0,74.9,0
1777968167.315,4978032,359.0,73.25,0
1777968168.333,4978032,359.0,76.0,0
1777968169.355,4978032,359.0,72.7,0
1777968170.377,4978032,359.0,73.8,0
1777968171.395,4978032,360.0,74.35,0
1777968172.411,4978032,360.0,74.35,0
1777968173.433,4978032,360.0,74.35,0
1777968174.463,4978032,360.0,73.8,0
1777968175.486,4978032,361.0,74.9,0
1777968176.51,4978032,361.0,73.8,0
1777968177.537,4979568,361.0,73.8,0
1777968178.563,4979568,361.0,72.7,0
1777968179.59,4979568,361.0,74.35,0
1777968180.617,4979568,362.0,77.1,0
1777968181.648,4979568,362.0,73.8,0
1777968182.669,4979568,362.0,73.25,0
1777968183.69,4979568,362.0,74.35,0
1777968184.708,4979568,362.0,73.25,0
1777968185.74,4979568,362.0,74.35,0
1777968186.761,4979568,363.0,73.8,0
1777968187.796,4979568,363.0,74.35,0
1777968188.821,4979568,363.0,73.25,0
1777968189.846,4979568,363.0,74.9,0
1777968190.859,4979568,363.0,73.25,0
1777968191.879,4979568,363.0,73.25,0
1777968192.901,4979568,363.0,73.8,0
1777968193.919,4979568,364.0,74.35,0
1777968194.939,4979568,364.0,72.7,0
1777968195.961,4979568,364.0,73.8,0
1777968196.986,4979568,364.0,75.45,0
1777968198.007,4979568,364.0,72.7,0
1777968199.027,4979568,364.0,73.25,0
1777968200.054,4979568,365.0,76.55,0
1777968201.079,4979568,364.0,72.7,0
1777968202.109,4979568,364.0,74.9,0
1777968203.131,4979568,365.0,74.35,0
1777968204.145,4980080,365.0,73.8,0
1777968205.166,4980080,365.0,74.35,0
