elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777968302.562,8016,0.0,63.9,0
1777968303.572,82400,100.0,63.35,0
1777968304.585,3380208,100.0,62.8,0
1777968305.604,4531040,150.0,64.45,0
1777968306.623,4545904,190.0,67.2,0
1777968307.647,4545904,230.0,69.95,0
1777968308.669,4545904,256.0,71.05,0
1777968309.692,4545904,275.0,71.05,0
1777968310.718,4597616,289.0,72.15,0
1777968311.745,4597616,300.0,71.6,0
1777968312.773,4597616,309.0,71.6,0
1777968313.792,4600176,314.0,70.5,0
1777968314.807,4600176,317.0,68.85,0
1777968315.852,4600176,321.0,69.95,0
1777968316.869,4783472,322.0,69.4,0
1777968317.894,4785008,325.0,71.6,0
1777968318.919,4785008,328.0,69.95,0
1777968319.939,4785008,332.0,73.8,0
1777968320.965,4785008,333.0,71.6,0
1777968321.981,4785008,335.0,72.15,0
1777968323.006,4785008,337.0,72.7,0
1777968324.02,4785008,338.0,72.7,0
1777968325.041,4785008,339.0,73.8,0
1777968326.075,4785008,341.0,73.8,0
1777968327.088,4785008,343.0,73.25,0
1777968328.107,4785008,343.0,71.6,0
1777968329.129,4785008,345.0,73.8,0
1777968330.146,4785008,346.0,74.35,0
1777968331.171,4785008,347.0,72.7,0
1777968332.197,4785008,348.0,73.8,0
1777968333.21,4785008,349.0,74.35,0
1777968334.231,4785008,349.0,73.8,0
1777968335.253,4785008,350.0,73.25,0
1777968336.274,4785008,352.0,74.35,0
1777968337.294,4785008,352.0,73.25,0
1777968338.318,4785008,352.0,74.35,0
1777968339.342,4785008,353.0,75.45,0
1777968340.367,4785008,354.0,73.8,0
1777968341.393,4785008,354.0,73.8,0
1777968342.423,4785008,354.0,72.15,0
1777968343.444,4786544,355.0,73.25,0
1777968344.464,4786544,356.0,72.7,0
1777968345.489,4786544,356.0,74.9,0
1777968346.513,4786544,357.0,73.25,0
1777968347.548,4786544,358.0,75.45,0
1777968348.561,4786544,358.0,72.7,0
1777968349.686,4786544,358.0,71.6,0
1777968350.711,4786544,359.0,72.7,0
1777968351.737,4786544,359.0,74.35,0
1777968352.761,4786544,359.0,73.25,0
1777968353.777,4786544,360.0,73.8,0
1777968354.803,4786544,360.0,71.05,0
1777968355.823,4786544,360.0,73.25,0
1777968356.847,4786544,361.0,72.7,0
1777968357.87,4786544,361.0,74.35,0
1777968358.886,4786544,361.0,73.25,0
1777968359.905,4786544,362.0,72.7,0
1777968360.923,4786544,362.0,73.25,0
1777968361.945,4786544,362.0,73.25,0
1777968362.974,4786544,362.0,73.25,0
1777968363.993,4786544,363.0,73.25,0
1777968365.012,4786544,363.0,72.7,0
1777968366.047,4786544,363.0,71.6,0
1777968367.067,4786544,363.0,71.05,0
1777968368.091,4786544,363.0,73.25,0
1777968369.114,4786544,364.0,73.8,0
1777968370.143,4786544,364.0,71.6,0
1777968371.171,4786544,364.0,71.05,0
1777968372.203,4786544,364.0,71.05,0
1777968373.226,4786544,364.0,71.05,0
1777968374.251,4786544,365.0,73.25,0
1777968375.271,4786544,365.0,71.6,0
1777968376.387,4786544,365.0,72.15,0
1777968377.418,4786544,365.0,74.35,0
1777968378.443,4786544,365.0,72.7,0
1777968379.473,4786544,366.0,72.7,0
1777968380.501,4786544,366.0,72.15,0
1777968381.528,4786544,366.0,72.7,0
1777968382.551,4786544,366.0,72.15,0
1777968383.564,4786544,366.0,73.8,0
1777968384.583,4786544,366.0,71.05,0
1777968385.605,4786544,366.0,73.25,0
1777968386.626,4786544,367.0,72.7,0
1777968387.649,4786544,367.0,72.7,0
1777968388.667,4786544,367.0,72.15,0
1777968389.689,4786544,367.0,73.25,0
1777968390.71,4786544,367.0,72.7,0
1777968391.737,4786544,367.0,73.8,0
1777968392.762,4786544,367.0,72.7,0
1777968393.786,4786544,367.0,73.8,0
1777968394.816,4786544,367.0,72.7,0
1777968395.846,4786544,367.0,73.25,0
1777968396.881,4786544,367.0,73.8,0
1777968397.901,4786544,368.0,74.35,0
1777968398.929,4786544,368.0,73.8,0
1777968399.952,4786544,368.0,73.25,0
1777968400.975,4786544,368.0,73.25,0
1777968401.994,4786544,368.0,74.35,0
1777968403.021,4788080,368.0,73.25,0
1777968404.051,4788080,368.0,74.9,0
1777968405.08,4788080,368.0,73.8,0
1777968406.099,4788080,369.0,73.8,0
1777968407.221,4788080,369.0,74.35,0
1777968408.243,4788080,369.0,73.25,0
1777968409.263,4788080,369.0,73.8,0
1777968410.285,4788080,369.0,76.0,0
1777968411.308,4788080,369.0,73.25,0
1777968412.339,4788080,369.0,72.7,0
1777968413.364,4788080,369.0,73.8,0
1777968414.387,4788080,369.0,73.8,0
1777968415.411,4788080,370.0,73.25,0
1777968416.436,4788080,370.0,73.8,0
1777968417.457,4788080,370.0,72.15,0
1777968418.483,4788080,370.0,74.35,0
1777968419.509,4788080,370.0,72.7,0
1777968420.533,4788080,370.0,74.35,0
1777968421.544,4788080,370.0,73.25,0
1777968422.568,4788080,370.0,72.7,0
1777968423.595,4788080,370.0,73.8,0
1777968424.622,4788080,370.0,71.05,0
1777968425.645,4788080,370.0,74.35,0
1777968426.675,4788080,370.0,72.7,0
1777968427.699,4788080,371.0,72.7,0
1777968428.725,4788080,371.0,71.6,0
1777968429.752,4788080,371.0,74.35,0
1777968430.767,4788080,371.0,73.8,0
1777968431.789,4788080,371.0,72.7,0
1777968432.815,4788080,371.0,72.15,0
1777968433.843,4788080,371.0,73.25,0
1777968434.874,4788080,371.0,74.35,0
1777968435.895,4788080,371.0,73.8,0
1777968436.915,4788080,371.0,71.6,0
1777968437.942,4789104,371.0,73.8,0
1777968438.966,4789104,371.0,73.8,0
1777968439.989,4789104,371.0,72.15,0
1777968441.017,4789104,372.0,71.05,0
1777968442.037,4789104,372.0,70.5,0
1777968443.061,4789104,372.0,72.7,0
1777968444.085,4789104,372.0,72.15,0
1777968445.112,4789104,372.0,72.7,0
1777968446.133,4789104,372.0,71.6,0
1777968447.154,4789104,372.0,71.05,0
1777968448.179,4789104,372.0,72.15,0
1777968449.212,4789104,372.0,73.25,0
1777968450.237,4789104,372.0,73.25,0
1777968451.262,4789104,372.0,71.05,0
1777968452.29,4789104,373.0,72.15,0
1777968453.319,4789104,372.0,71.6,0
1777968454.345,4789104,372.0,71.6,0
1777968455.371,4789104,373.0,71.05,0
1777968456.395,4789104,373.0,69.95,0
1777968457.416,4789104,373.0,71.6,0
1777968458.441,4789104,373.0,72.15,0
1777968459.471,4789104,373.0,72.7,0
1777968460.496,4789104,373.0,70.5,0
1777968461.51,4789104,373.0,70.5,0
1777968462.532,4789104,373.0,71.05,0
1777968463.559,4789104,373.0,70.5,0
1777968464.582,4789104,373.0,72.15,0
1777968465.608,4789104,373.0,69.95,0
1777968466.632,4789104,373.0,71.05,0
1777968467.66,4789104,373.0,72.15,0
1777968468.681,4789104,373.0,71.05,0
1777968469.704,4789104,373.0,70.5,0
1777968470.717,4789104,373.0,70.5,0
1777968471.743,4789104,373.0,71.05,0
1777968472.763,4789104,373.0,71.05,0
1777968473.787,4789104,373.0,71.05,0
1777968474.809,4789104,374.0,69.95,0
