elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777968733.036,8032,0.0,64.45,0
1777968734.046,82432,99.0,63.35,0
1777968735.159,3614736,100.0,63.9,0
1777968736.179,4563328,158.0,65.55,0
1777968737.193,4579200,195.0,68.3,0
1777968738.214,4579200,233.0,69.95,0
1777968739.235,4579200,259.0,69.4,0
1777968740.262,4579200,278.0,71.6,0
1777968741.289,4630400,290.0,72.15,0
1777968742.308,4630400,301.0,72.7,0
1777968743.329,4630400,308.0,73.25,0
1777968744.349,4632960,313.0,70.5,0
1777968745.365,4632960,317.0,69.4,0
1777968746.384,4632960,320.0,70.5,0
1777968747.408,4816768,321.0,69.4,0
1777968748.433,4818816,324.0,72.15,0
1777968749.467,4818816,327.0,71.05,0
1777968750.495,4818816,330.0,72.15,0
1777968751.516,4818816,333.0,73.8,0
1777968752.538,4818816,335.0,74.35,0
1777968753.566,4818816,337.0,74.35,0
1777968754.589,4818816,338.0,73.25,0
1777968755.612,4818816,340.0,76.0,0
1777968756.632,4818816,341.0,74.35,0
1777968757.657,4818816,343.0,73.8,0
1777968758.671,4818816,344.0,74.9,0
1777968759.691,4818816,345.0,75.45,0
1777968760.712,4818816,346.0,74.9,0
1777968761.742,4818816,346.0,73.25,0
1777968762.772,4818816,348.0,74.9,0
1777968763.787,4818816,349.0,74.35,0
1777968764.807,4818816,349.0,72.15,0
1777968765.828,4818816,350.0,76.0,0
1777968766.855,4818816,350.0,74.35,0
1777968767.98,4818816,351.0,74.9,0
1777968769.0,4818816,352.0,73.25,0
1777968770.021,4818816,353.0,74.35,0
1777968771.04,4818816,353.0,73.25,0
1777968772.065,4819328,354.0,74.9,0
1777968773.093,4819328,354.0,73.8,0
1777968774.118,4819328,355.0,73.25,0
1777968775.141,4819328,356.0,74.9,0
1777968776.173,4819328,356.0,74.35,0
1777968777.201,4819328,356.0,72.7,0
1777968778.228,4819328,357.0,75.45,0
1777968779.255,4819328,357.0,73.8,0
1777968780.279,4819328,357.0,74.35,0
1777968781.302,4819328,358.0,73.25,0
1777968782.338,4819328,358.0,72.15,0
1777968783.364,4819328,358.0,73.8,0
1777968784.394,4819328,359.0,74.35,0
1777968785.41,4819328,359.0,73.25,0
1777968786.439,4819328,359.0,73.25,0
1777968787.467,4819328,359.0,73.8,0
1777968788.49,4819328,360.0,74.9,0
1777968789.515,4819328,360.0,72.15,0
1777968790.535,4819328,360.0,73.8,0
1777968791.558,4819328,361.0,73.8,0
1777968792.588,4819328,361.0,72.15,0
1777968793.613,4819328,361.0,72.15,0
1777968794.634,4819328,362.0,73.8,0
1777968795.648,4819328,362.0,73.25,0
1777968796.667,4819328,362.0,72.7,0
1777968797.69,4819328,362.0,73.8,0
1777968798.715,4820864,362.0,75.45,0
1777968799.739,4820864,362.0,73.25,0
1777968800.761,4820864,363.0,73.8,0
1777968801.782,4820864,363.0,75.45,0
1777968802.806,4820864,363.0,72.7,0
1777968803.83,4820864,363.0,73.8,0
1777968804.853,4820864,364.0,73.8,0
1777968805.88,4820864,364.0,72.15,0
1777968806.905,4820864,364.0,74.35,0
1777968807.93,4820864,364.0,74.35,0
1777968808.954,4820864,364.0,73.8,0
1777968809.98,4820864,364.0,71.6,0
1777968811.003,4820864,364.0,72.15,0
1777968812.023,4820864,365.0,74.35,0
1777968813.044,4820864,365.0,74.35,0
1777968814.07,4820864,365.0,74.35,0
1777968815.092,4820864,365.0,74.35,0
1777968816.117,4820864,365.0,73.25,0
1777968817.143,4820864,365.0,74.35,0
1777968818.173,4820864,365.0,74.9,0
1777968819.189,4820864,365.0,73.8,0
1777968820.211,4820864,365.0,71.6,0
1777968821.231,4820864,365.0,72.7,0
1777968822.257,4820864,366.0,74.35,0
1777968823.286,4820864,366.0,74.9,0
1777968824.311,4820864,366.0,72.7,0
1777968825.333,4820864,366.0,74.35,0
1777968826.36,4821888,366.0,73.8,0
1777968827.385,4821888,366.0,74.35,0
1777968828.409,4821888,366.0,72.7,0
1777968829.434,4821888,366.0,74.9,0
1777968830.458,4821888,367.0,73.8,0
1777968831.49,4821888,367.0,72.15,0
1777968832.517,4821888,367.0,73.8,0
1777968833.544,4821888,367.0,74.9,0
1777968834.576,4821888,367.0,72.7,0
1777968835.603,4821888,367.0,73.25,0
1777968836.626,4821888,367.0,74.9,0
1777968837.643,4821888,367.0,74.35,0
1777968838.665,4821888,367.0,74.35,0
1777968839.698,4821888,367.0,71.6,0
1777968840.722,4821888,368.0,73.25,0
1777968841.757,4821888,368.0,71.6,0
1777968842.789,4821888,368.0,73.25,0
1777968843.812,4821888,368.0,73.8,0
1777968844.835,4821888,368.0,73.25,0
1777968845.862,4821888,368.0,73.8,0
