elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777969583.57,8032,0.0,64.45,0
1777969584.584,82432,99.0,63.35,0
1777969585.596,3406864,99.5,62.8,0
1777969586.62,4567424,152.0,66.65,0
1777969587.641,4581808,188.0,67.75,0
1777969588.667,4581808,228.0,69.4,0
1777969589.692,4581808,255.0,69.95,0
1777969590.719,4581808,274.0,72.15,0
1777969591.739,4633520,288.0,71.6,0
1777969592.767,4633520,300.0,73.25,0
1777969593.795,4633520,306.0,72.15,0
1777969594.815,4636080,312.0,72.15,0
1777969595.843,4636080,315.0,68.85,0
1777969596.89,4636080,319.0,71.05,0
1777969597.911,4821984,320.0,71.05,0
1777969598.934,4825056,324.0,72.15,0
1777969599.959,4825056,326.0,71.05,0
1777969600.983,4825056,330.0,74.9,0
1777969602.003,4825056,332.0,72.7,0
1777969603.029,4825056,334.0,72.15,0
1777969604.055,4825056,336.0,73.8,0
1777969605.078,4825056,338.0,73.25,0
1777969606.106,4825056,339.0,74.35,0
1777969607.133,4825056,341.0,74.35,0
1777969608.15,4825056,342.0,73.8,0
1777969609.184,4825056,343.0,74.35,0
1777969610.196,4825056,344.0,74.35,0
1777969611.222,4825056,345.0,74.9,0
1777969612.24,4825056,346.0,75.45,0
1777969613.258,4825056,347.0,74.35,0
1777969614.279,4825056,348.0,74.9,0
1777969615.292,4825056,348.0,74.9,0
1777969616.307,4825056,349.0,75.45,0
1777969617.338,4825056,350.0,74.35,0
1777969618.366,4825056,350.0,72.15,0
1777969619.387,4825056,351.0,74.9,0
1777969620.401,4825056,352.0,75.45,0
1777969621.423,4825056,352.0,73.8,0
1777969622.45,4825056,352.0,72.7,0
1777969623.469,4826080,353.0,74.9,0
1777969624.49,4826080,354.0,74.9,0
1777969625.511,4826080,354.0,74.9,0
1777969626.533,4826080,355.0,75.45,0
1777969627.573,4826080,355.0,73.8,0
1777969628.596,4826080,356.0,74.35,0
1777969629.623,4826080,357.0,74.9,0
1777969630.638,4826080,357.0,74.35,0
1777969631.663,4826080,357.0,73.25,0
1777969632.691,4826080,358.0,74.9,0
1777969633.717,4826080,358.0,74.35,0
1777969634.748,4826080,358.0,72.15,0
1777969635.775,4826080,358.0,73.25,0
1777969636.803,4826080,359.0,74.35,0
1777969637.84,4826080,359.0,71.6,0
1777969638.861,4826080,359.0,73.8,0
1777969639.89,4826080,360.0,74.9,0
1777969640.905,4826080,360.0,73.8,0
1777969641.922,4826080,360.0,73.25,0
1777969642.95,4826080,360.0,74.35,0
1777969643.975,4826080,360.0,74.9,0
1777969644.993,4826080,361.0,74.9,0
1777969646.019,4826080,361.0,73.25,0
1777969647.047,4826080,361.0,73.25,0
1777969648.067,4826080,361.0,75.45,0
1777969649.093,4827104,361.0,75.45,0
1777969650.119,4827104,361.0,73.8,0
1777969651.143,4827104,362.0,72.7,0
1777969652.165,4827104,362.0,74.9,0
1777969653.188,4827104,362.0,72.7,0
1777969654.206,4827104,363.0,73.25,0
1777969655.235,4827104,363.0,74.35,0
1777969656.26,4827104,363.0,75.45,0
1777969657.283,4827104,363.0,73.8,0
1777969658.306,4827104,363.0,73.25,0
1777969659.337,4827104,364.0,74.9,0
1777969660.361,4827104,364.0,74.35,0
1777969661.384,4827104,364.0,71.6,0
1777969662.408,4827104,364.0,74.35,0
1777969663.432,4827104,364.0,73.25,0
1777969664.455,4827104,364.0,73.25,0
1777969665.476,4827104,364.0,73.8,0
1777969666.512,4827104,364.0,73.8,0
1777969667.534,4827104,364.0,73.25,0
1777969668.557,4827104,364.0,74.35,0
1777969669.586,4827104,365.0,73.8,0
1777969670.598,4827104,365.0,73.25,0
