worker_id,ok,error,wall_sec,json_valid,decision,prompt_tokens,completion_tokens,content,job_index,host_label,repeat,model,config,type_k,type_v,ctx_size,concurrency,server_ctx_total,context_fill_ratio,raw_dir,memavailable_mb_before,memavailable_pct_before
1,True,,173.90958995799883,True,q4_0/q4_0,3136,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor memory""}",1,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,f16/f16,f16,f16,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0001_ctx8192_c1_r01_qwen35_4b_f16_f16,7666.421875,95.0734000418543
1,True,,213.30415323400666,True,q4_0/q4_0,3136,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor memory""}",2,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0002_ctx8192_c1_r01_qwen35_4b_q4_0_q4_0,7615.6875,94.44422914454461
1,True,,188.3002492939995,True,q4_0/q4_0,3136,37,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""cpu_only limits speed"",""next_action"":""monitor memory usage""}",3,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0003_ctx8192_c1_r01_qwen35_4b_tbq4_tbq4,7633.59375,94.66628946124214
1,True,,190.7168947070022,True,q4_0/q4_0,3136,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor memory""}",4,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q8_0/tbq4,q8_0,tbq4,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0004_ctx8192_c1_r01_qwen35_4b_q8_0_tbq4,7608.4375,94.35431990637038
1,True,,264.95021779701347,True,q4_0/q4_0,4659,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor memory""}",5,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,f16/f16,f16,f16,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0005_ctx12288_c1_r01_qwen35_4b_f16_f16,7615.328125,94.43977243661786
1,True,,352.07609602599405,True,q4_0/q4_0,4659,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency guarantee"",""next_action"":""monitor memory""}",6,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0006_ctx12288_c1_r01_qwen35_4b_q4_0_q4_0,7615.140625,94.43744719769957
1,True,,291.8032142010052,True,q4_0/q4_0,4659,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor memory""}",7,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0007_ctx12288_c1_r01_qwen35_4b_tbq4_tbq4,7615.15625,94.43764096760943
1,True,,311.1867156139924,True,q4_0/q4_0,4659,38,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""deploy_q4_0""}",8,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q8_0/tbq4,q8_0,tbq4,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0008_ctx12288_c1_r01_qwen35_4b_q8_0_tbq4,7613.0625,94.41167579968842
1,True,,364.65596516500227,True,q4_0/q4_0,6185,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor_memory""}",9,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,f16/f16,f16,f16,16384,1,16384,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0009_ctx16384_c1_r01_qwen35_4b_f16_f16,7611.921875,94.39753059626877
1,True,,522.0974475620023,True,q4_0/q4_0,6185,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor_memory""}",10,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,16384,1,16384,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0010_ctx16384_c1_r01_qwen35_4b_q4_0_q4_0,7633.625,94.66667700106186
1,True,,424.74769083999854,True,q4_0/q4_0,6185,37,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""cpu_only limits speed"",""next_action"":""monitor memory usage""}",11,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,16384,1,16384,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0011_ctx16384_c1_r01_qwen35_4b_tbq4_tbq4,7628.96875,94.6089335679241
1,True,,446.42663176300994,True,q4_0/q4_0,6185,35,"{""decision"":""q4_0/q4_0"",""evidence"":""memory_saving_baseline"",""caveats"":""no latency data"",""next_action"":""monitor memory""}",12,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q8_0/tbq4,q8_0,tbq4,16384,1,16384,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0012_ctx16384_c1_r01_qwen35_4b_q8_0_tbq4,7610.328125,94.37776606546322
