requests,ok_requests,error_requests,json_valid_rate,batch_wall_sec,mean_request_wall_sec,p95_request_wall_sec,total_prompt_tokens,total_completion_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,job_index,host_label,repeat,model,config,type_k,type_v,ctx_size,concurrency,server_ctx_total,context_fill_ratio,raw_dir,memavailable_mb_before,memavailable_pct_before,server_returncode,server_max_rss_mb,server_max_cpu_pct,server_profile_samples,thermal_max_c,vcgencmd_throttled_last,vcgencmd_throttled_or,rapl_package_joules,rapl_package_watts_avg,killed_for_rss,memavailable_mb_after,memavailable_pct_after,server_version
1,1,0,1.0,173.91118067400384,173.90958995799883,173.90958995799883,3136,35,18.032193145065385,0.20125215563689047,1,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,f16/f16,f16,f16,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0001_ctx8192_c1_r01_qwen35_4b_f16_f16,7666.421875,95.0734000418543,0,4917.859375,370.0,184,77.1,0,0,0.0,0.0,False,7615.703125,94.44442291445446,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,213.30463956500898,213.30415323400666,213.30415323400666,3136,35,14.701977445944111,0.16408456970919766,2,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0002_ctx8192_c1_r01_qwen35_4b_q4_0_q4_0,7615.6875,94.44422914454461,0,4729.859375,375.0,222,76.0,0,0,0.0,0.0,False,7633.34375,94.66318914268442,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,188.30076601399924,188.3002492939995,188.3002492939995,3136,37,16.654207342772327,0.19649415551102556,3,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0003_ctx8192_c1_r01_qwen35_4b_tbq4_tbq4,7633.59375,94.66628946124214,0,4729.90625,372.0,198,76.0,0,0,0.0,0.0,False,7608.421875,94.35412613646052,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,190.71738513100718,190.7168947070022,190.7168947070022,3136,35,16.443178464542317,0.18351761679176692,4,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q8_0/tbq4,q8_0,tbq4,8192,1,8192,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0004_ctx8192_c1_r01_qwen35_4b_q8_0_tbq4,7608.4375,94.35431990637038,0,4762.875,372.0,200,76.0,0,0,0.0,0.0,False,7615.3125,94.439578666708,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,264.9508061279921,264.95021779701347,264.95021779701347,4659,35,17.584396394511575,0.13209999437817238,5,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,f16/f16,f16,f16,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0005_ctx12288_c1_r01_qwen35_4b_f16_f16,7615.328125,94.43977243661786,0,5051.390625,373.0,272,76.0,0,0,0.0,0.0,False,7615.140625,94.43744719769957,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,352.07663081999635,352.07609602599405,352.07609602599405,4659,35,13.232914633240663,0.09941017646778776,6,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0006_ctx12288_c1_r01_qwen35_4b_q4_0_q4_0,7615.140625,94.43744719769957,0,4771.0625,379.0,357,76.0,0,0,0.0,0.0,False,7615.15625,94.43764096760943,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,291.8037512729934,291.8032142010052,291.8032142010052,4659,35,15.966210097283259,0.11994362597229322,7,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,tbq4/tbq4,tbq4,tbq4,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0007_ctx12288_c1_r01_qwen35_4b_tbq4_tbq4,7615.15625,94.43764096760943,0,4771.46875,375.0,298,76.55,0,0,0.0,0.0,False,7613.046875,94.41148202977855,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,311.1872400930006,311.1867156139924,311.1867156139924,4659,38,14.971693564966301,0.1221129760611117,8,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q8_0/tbq4,q8_0,tbq4,12288,1,12288,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0008_ctx12288_c1_r01_qwen35_4b_q8_0_tbq4,7613.0625,94.41167579968842,0,4820.375,376.0,317,76.55,0,0,0.0,0.0,False,7611.921875,94.39753059626877,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,364.65657236700645,364.65596516500227,364.65596516500227,6185,35,16.961164198557604,0.09598071898941248,9,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,f16/f16,f16,f16,16384,1,16384,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0009_ctx16384_c1_r01_qwen35_4b_f16_f16,7611.921875,94.39753059626877,0,5182.859375,374.0,370,77.1,0,0,0.0,0.0,False,7633.609375,94.666483231152,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
1,1,0,1.0,522.0980939299916,522.0974475620023,522.0974475620023,6185,35,11.846432829209581,0.06703721083627087,10,raspberry_pi5_8gb_qwen_context_c1,1,qwen35_4b,q4_0/q4_0,q4_0,q4_0,16384,1,16384,0.35,agent/results/20260505_pi_qwen_context_curve_c1/raw/0010_ctx16384_c1_r01_qwen35_4b_q4_0_q4_0,7633.625,94.66667700106186,0,4809.90625,381.0,523,76.55,0,0,0.0,0.0,False,7628.96875,94.6089335679241,version: 0 (unknown) built with GNU 12.2.0 for Linux aarch64
