host_label,ctx_size,model,task_suite,config,repeats,wall_mean_sec,wall_ci95_sec,speedup_vs_q4_pct,quality_mean,quality_ci95,quality_delta_vs_q4,json_valid_mean,plan_valid_mean,tool_use_mean,correctness_mean,rss_max_mb,thermal_max_c,throttled_or,rapl_joules_mean,rapl_watts_avg,battery_joules_mean,battery_power_w_avg,energy_joules_mean,power_w_avg
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,f16/f16,1,79.7289129999981,0.0,3.310269387479574,0.8333333333333334,0.0,0.054166666666666696,1.0,1.0,1.0,0.8541666666666666,8384.046875,0.0,0,0.0,0.0,2894.4431499865523,35.80892911392405,2894.4431499865523,35.80892911392405
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,q4_0/q4_0,1,82.45851187600056,0.0,0.0,0.7791666666666667,0.0,0.0,1.0,1.0,1.0,0.7083333333333334,7920.015625,0.0,0,0.0,0.0,1450.7484044005153,17.300521951219512,1450.7484044005153,17.300521951219512
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,q8_0/q8_0,1,79.87558066800011,0.0,3.132400948351585,0.8291666666666667,0.0,0.050000000000000044,1.0,1.0,1.0,0.8125,8212.90625,0.0,0,0.0,0.0,1372.7296006357667,16.98979746835443,1372.7296006357667,16.98979746835443
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,q8_0/tbq4,1,76.76583083399873,0.0,6.9036912169387215,0.8166666666666667,0.0,0.03749999999999998,1.0,1.0,1.0,0.75,7787.265625,0.0,0,0.0,0.0,1198.7722602471824,15.429826315789473,1198.7722602471824,15.429826315789473
m4_agentic_impact_gemma8k,8192,gemma4_e4b,agentic_impact,tbq4/tbq4,1,78.01873266500024,0.0,5.3842582287645016,0.8291666666666666,0.0,0.04999999999999993,1.0,1.0,1.0,0.8125,7752.09375,0.0,0,0.0,0.0,1130.0675413294318,14.375937662337662,1130.0675413294318,14.375937662337662
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,f16/f16,1,101.57814320699981,0.0,-2.6205143758935177,0.8708333333333333,0.0,0.022916666666666696,1.0,1.0,1.0,0.7708333333333334,7944.875,0.0,0,0.0,0.0,3401.689406084217,33.3672191919192,3401.689406084217,33.3672191919192
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,q4_0/q4_0,1,98.984246789998,0.0,0.0,0.8479166666666667,0.0,0.0,1.0,0.875,1.0,0.78125,7826.28125,0.0,0,0.0,0.0,1236.773934593141,12.28799693877551,1236.773934593141,12.28799693877551
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/q8_0,1,99.67619054199986,0.0,-0.699044317092061,0.7916666666666666,0.0,-0.05625000000000002,1.0,1.0,1.0,0.5,7919.625,0.0,0,0.0,0.0,1210.8429297155383,12.020404081632654,1210.8429297155383,12.020404081632654
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/tbq4,1,98.84536241600017,0.0,0.1403095729894056,0.7520833333333333,0.0,-0.09583333333333333,1.0,1.0,1.0,0.4895833333333333,7890.296875,0.0,0,0.0,0.0,1296.1217333959817,13.001438144329898,1296.1217333959817,13.001438144329898
m4_agentic_impact_qwen8k,8192,qwen35_4b,agentic_impact,tbq4/tbq4,1,98.35038241799975,0.0,0.6403689400627864,0.83125,0.0,-0.016666666666666607,1.0,0.875,1.0,0.6979166666666666,7639.46875,0.0,0,0.0,0.0,1206.7999594327566,12.121790721649484,1206.7999594327566,12.121790721649484
