elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778054688.583,15772,0.0,58.0,98732141104
1778054689.593,3600180,101.0,66.0,98762199865
1778054690.604,4570660,419.0,70.0,98822245732
1778054691.615,4699236,611.0,86.0,98908954983
1778054692.626,4699544,711.0,83.0,98996726120
1778054693.65,4699544,773.0,86.0,99088608698
1778054694.661,4699544,813.0,87.0,99179903813
1778054695.672,4699544,840.0,86.0,99270152178
1778054696.683,4751004,860.0,88.0,99359565829
1778054697.696,4753912,877.0,78.0,99444843992
1778054698.715,4753912,891.0,74.0,99508446185
1778054699.729,4753912,902.0,74.0,99570603924
1778054700.742,4753912,911.0,74.0,99632527776
1778054701.755,4753912,919.0,76.0,99694678069
1778054702.77,4753912,926.0,72.0,99756922111
1778054703.784,4753912,931.0,74.0,99819499222
1778054704.8,4800996,935.0,74.0,99881677224
1778054705.813,4800996,940.0,74.0,99943975282
1778054706.827,4800996,944.0,72.0,100006051356
1778054707.839,4800996,947.0,73.0,100068353138
1778054708.859,4800996,951.0,72.0,100131301341
1778054709.873,4800996,954.0,72.0,100193617466
1778054710.887,4800996,956.0,73.0,100256013485
1778054711.9,4800996,959.0,72.0,100318390462
1778054712.914,4860012,960.0,74.0,100393805796
1778054713.928,4860012,962.0,74.0,100456057284
1778054714.941,4860012,964.0,73.0,100518372188
1778054715.955,4860012,965.0,73.0,100580994220
1778054716.967,4860012,967.0,73.0,100644205912
1778054717.98,4860012,968.0,73.0,100706652956
1778054719.0,4860012,970.0,72.0,100769418970
1778054720.012,4860012,971.0,73.0,100831726489
1778054721.026,4860012,973.0,73.0,100894049083
1778054722.038,4860012,974.0,73.0,100956439243
1778054723.055,4860012,975.0,73.0,101019136226
1778054724.07,4860012,949.0,73.0,101082026080
1778054725.083,4860012,951.0,74.0,101145728370
1778054726.092,4916852,952.0,88.0,101213998704
1778054727.104,4917184,953.0,85.0,101306643669
1778054728.115,4917184,955.0,87.0,101398188723
1778054729.126,4917184,956.0,87.0,101490504038
1778054730.138,4917184,957.0,79.0,101579870509
1778054731.15,4917184,958.0,78.0,101626279020
1778054732.161,4917184,960.0,73.0,101691169662
1778054733.173,4968644,961.0,78.0,101757050109
1778054734.185,4971556,962.0,75.0,101819284019
1778054735.199,4971556,963.0,74.0,101881824509
1778054736.216,4971556,964.0,78.0,101944750495
1778054737.228,4971556,965.0,73.0,102007210601
1778054738.24,4971556,966.0,74.0,102069754081
1778054739.252,4971556,967.0,76.0,102132257339
1778054740.267,4971556,967.0,74.0,102194986488
1778054741.28,5030240,968.0,88.0,102279308537
1778054742.292,5030240,969.0,78.0,102351106938
1778054743.304,5030240,969.0,78.0,102416501301
1778054744.316,5030240,970.0,77.0,102481698766
1778054745.328,5030240,971.0,73.0,102546557609
1778054746.339,5030240,971.0,74.0,102611738167
1778054747.351,5081700,972.0,77.0,102677602134
1778054748.367,5081700,973.0,74.0,102740744490
1778054749.381,5081700,973.0,73.0,102803398993
1778054750.393,5081700,974.0,77.0,102865861601
1778054751.405,5081700,975.0,78.0,102928431326
1778054752.417,5081700,975.0,74.0,102991141859
1778054753.431,5081700,976.0,77.0,103055451143
1778054754.445,5081700,976.0,78.0,103119655751
1778054755.459,5081700,977.0,74.0,103183916207
1778054756.474,5081700,977.0,77.0,103248162930
1778054757.493,5081700,978.0,75.0,103312819197
1778054758.507,5081700,978.0,76.0,103376493473
1778054759.519,5081700,979.0,74.0,103439271327
1778054760.532,5081700,979.0,75.0,103502067553
1778054761.544,5140636,979.0,83.0,103568949523
1778054762.555,5140636,980.0,88.0,103662458439
1778054763.567,5140636,980.0,77.0,103730934155
1778054764.579,5140636,981.0,78.0,103796055448
1778054765.591,5192096,981.0,75.0,103861331831
1778054766.606,5192096,981.0,75.0,103924952274
1778054767.619,5192096,982.0,75.0,103987703822
1778054768.632,5192096,982.0,77.0,104050485522
1778054769.657,5192096,983.0,77.0,104114089180
1778054770.669,5192096,983.0,78.0,104176898528
1778054771.682,5192096,983.0,74.0,104239670523
1778054772.696,5192096,984.0,77.0,104302532850
1778054773.707,5248604,984.0,88.0,104369759790
1778054774.719,5248604,984.0,79.0,104455582019
1778054775.731,5248604,984.0,78.0,104520782047
1778054776.743,5248604,985.0,78.0,104585933064
1778054777.755,5248604,985.0,78.0,104651098486
1778054778.766,5248604,985.0,73.0,104715892449
1778054779.778,5300064,985.0,78.0,104781685676
1778054780.791,5300064,986.0,77.0,104845029447
1778054781.807,5300064,986.0,74.0,104908003895
1778054782.821,5300064,986.0,78.0,104970718151
1778054783.834,5300064,986.0,77.0,105033322300
1778054784.847,5300064,987.0,76.0,105097015985
1778054785.869,5300064,987.0,75.0,105161711498
1778054786.879,5365568,987.0,76.0,105225357331
1778054787.891,5358080,987.0,79.0,105311812066
1778054788.904,5358080,987.0,78.0,105376653086
1778054789.916,5358080,988.0,75.0,105441952907
1778054790.954,5358080,988.0,78.0,105508999732
1778054791.968,5358080,988.0,78.0,105573849481
1778054792.98,5358080,988.0,81.0,105639179941
1778054793.992,5409540,989.0,78.0,105704947595
1778054795.005,5409540,989.0,75.0,105767850815
1778054796.018,5409540,989.0,76.0,105830517952
1778054797.031,5409540,989.0,77.0,105893171539
1778054798.045,5409540,989.0,74.0,105955829216
1778054799.058,5409540,981.0,75.0,106018604324
1778054800.072,5409540,981.0,74.0,106081339576
1778054801.086,5409540,981.0,73.0,106143973937
1778054802.1,5409540,982.0,75.0,106206750204
1778054803.117,5409540,982.0,77.0,106269838788
1778054804.13,5409540,982.0,77.0,106332464604
1778054805.144,5409540,982.0,74.0,106395311245
1778054806.158,5409540,983.0,76.0,106458041919
1778054807.177,5409540,983.0,74.0,106521213877
1778054808.189,5468440,983.0,87.0,106594607121
1778054809.2,5468440,983.0,90.0,106687432445
1778054810.212,5468440,983.0,78.0,106757793593
1778054811.225,5468440,984.0,74.0,106822975494
1778054812.237,5468440,984.0,78.0,106888247056
1778054813.249,5519900,984.0,78.0,106953568056
1778054814.261,5519900,984.0,78.0,107016847251
1778054815.274,5519900,984.0,75.0,107081298014
1778054816.288,5519900,985.0,78.0,107145520811
1778054817.301,5519900,985.0,77.0,107209638872
1778054818.312,5519900,985.0,78.0,107273710058
1778054819.331,5519900,985.0,77.0,107337375789
1778054820.344,5519900,985.0,76.0,107400252825
1778054821.359,5519900,986.0,74.0,107463105447
1778054822.372,5519900,986.0,74.0,107525886476
1778054823.392,5519900,986.0,75.0,107589297019
1778054824.406,5519900,986.0,77.0,107652181685
1778054825.418,5519900,986.0,74.0,107714916204
1778054826.433,5519900,987.0,74.0,107777845059
1778054827.444,5577796,987.0,86.0,107849402615
1778054828.456,5577796,987.0,78.0,107941644567
1778054829.469,5577796,987.0,77.0,108006554252
1778054830.481,5577796,987.0,76.0,108071979072
1778054831.493,5577796,987.0,77.0,108137329429
1778054832.505,5577796,987.0,79.0,108202414468
1778054833.517,5629256,988.0,78.0,108267948053
1778054834.532,5629256,988.0,77.0,108330181841
1778054835.547,5629256,988.0,77.0,108392988870
1778054836.559,5629256,988.0,75.0,108455674196
1778054837.572,5629256,988.0,75.0,108519213340
1778054838.586,5629256,988.0,75.0,108582619915
1778054839.599,5629256,989.0,76.0,108645432438
1778054840.611,5629256,989.0,77.0,108708057827
1778054841.623,5629256,989.0,75.0,108771291857
1778054842.634,5687284,989.0,90.0,108858574043
1778054843.659,5687284,989.0,78.0,108928604381
1778054844.671,5687284,989.0,78.0,108993670804
1778054845.684,5687284,989.0,78.0,109058908247
