elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778055464.062,12916,0.0,65.0,149137307355
1778055465.071,135936,100.0,77.0,149168192408
1778055466.085,7402296,148.0,73.0,149204424310
1778055467.096,7478504,281.0,87.0,149255302109
1778055468.107,7508468,463.0,88.0,149353060526
1778055469.118,7515236,572.0,88.0,149447299115
1778055470.128,7515236,645.0,86.0,149541801803
1778055471.14,7515368,697.0,78.0,149607292419
1778055472.152,7515900,737.0,78.0,149659185108
1778055473.164,7515900,767.0,79.0,149724418584
1778055474.176,7525448,791.0,78.0,149790131428
1778055475.188,7525448,811.0,75.0,149854066079
1778055476.205,7525448,828.0,74.0,149920099052
1778055477.222,7525448,843.0,75.0,149986113287
1778055478.239,7525448,855.0,76.0,150051787802
1778055479.255,7525448,866.0,77.0,150117204505
1778055480.272,7525448,875.0,74.0,150182719535
1778055481.284,7552304,883.0,79.0,150251863950
1778055482.296,7552304,890.0,77.0,150317041640
1778055483.309,7552304,897.0,77.0,150382681303
1778055484.321,7552304,902.0,78.0,150448237471
1778055485.333,7552304,907.0,78.0,150513991514
1778055486.346,7552304,912.0,78.0,150579647168
1778055487.362,7552304,917.0,76.0,150643620699
1778055488.377,7552304,921.0,75.0,150708909716
1778055489.394,7552304,924.0,74.0,150774422976
1778055490.41,7552304,928.0,75.0,150839972064
1778055491.428,7552304,931.0,76.0,150905508151
1778055492.444,7552304,934.0,75.0,150971158251
1778055493.457,7552304,937.0,75.0,151036585269
1778055494.474,7552304,939.0,75.0,151102269671
1778055495.49,7552304,942.0,75.0,151168017244
1778055496.503,7576972,944.0,86.0,151234327499
1778055497.516,7576972,946.0,77.0,151308302835
1778055498.528,7576972,948.0,79.0,151373585688
1778055499.54,7576972,950.0,78.0,151439087473
1778055500.553,7576972,952.0,76.0,151504512843
1778055501.564,7576972,953.0,78.0,151570006205
1778055502.576,7576972,955.0,78.0,151635393306
1778055503.588,7576972,956.0,76.0,151699267654
1778055504.605,7607892,957.0,75.0,151765107940
1778055505.622,7607892,959.0,75.0,151831762066
1778055506.636,7607892,960.0,77.0,151897708858
1778055507.668,7607892,961.0,75.0,151964709907
1778055508.68,7608076,963.0,79.0,152032149615
1778055509.693,7608076,964.0,79.0,152097580721
1778055510.706,7608076,965.0,78.0,152163239916
1778055511.718,7608076,966.0,77.0,152228748843
1778055512.729,7608076,967.0,76.0,152294402361
1778055513.74,7608076,968.0,76.0,152359945162
1778055514.752,7608076,968.0,77.0,152425952989
1778055515.769,7608076,969.0,74.0,152490384281
1778055516.783,7608076,970.0,77.0,152555467245
1778055517.799,7608076,971.0,74.0,152620786596
1778055518.816,7608076,972.0,75.0,152686155753
1778055519.828,7608076,973.0,75.0,152751308540
1778055520.845,7608076,973.0,74.0,152816891319
1778055521.862,7608076,974.0,75.0,152882513954
1778055522.879,7608076,975.0,75.0,152948045585
1778055523.892,7631308,975.0,78.0,153022458176
1778055524.905,7631308,976.0,78.0,153087591676
1778055525.917,7631308,977.0,79.0,153153114396
1778055526.929,7631308,977.0,79.0,153218577486
1778055527.941,7631308,978.0,77.0,153284097765
1778055528.958,7631308,978.0,75.0,153348167120
1778055529.976,7631308,979.0,75.0,153413437827
1778055530.993,7631308,979.0,75.0,153478709388
1778055532.01,7631308,980.0,74.0,153544019951
1778055533.026,7631308,980.0,75.0,153610296453
1778055534.042,7631308,981.0,75.0,153676939044
1778055535.059,7631308,981.0,76.0,153743615448
1778055536.076,7631308,968.0,75.0,153810415143
1778055537.096,7631308,969.0,77.0,153877290765
1778055538.106,7631516,969.0,78.0,153943284126
1778055539.118,7653952,970.0,78.0,154011088213
1778055540.132,7653952,971.0,79.0,154076729402
1778055541.144,7653952,971.0,79.0,154142229662
1778055542.156,7653952,972.0,79.0,154207963869
1778055543.172,7653952,972.0,76.0,154272060750
1778055544.19,7653952,973.0,77.0,154337353674
1778055545.203,7653952,973.0,77.0,154402325737
1778055546.22,7653952,974.0,75.0,154467720528
1778055547.236,7653952,974.0,76.0,154532511744
1778055548.251,7674912,974.0,77.0,154604898094
1778055549.263,7674912,975.0,82.0,154669958047
1778055550.275,7674912,975.0,79.0,154735661370
1778055551.286,7674912,976.0,79.0,154800982065
1778055552.298,7674912,976.0,79.0,154866870019
1778055553.309,7674912,976.0,79.0,154932312661
1778055554.321,7674912,977.0,79.0,154998054925
1778055555.338,7674912,977.0,77.0,155062398449
1778055556.349,7674912,978.0,75.0,155127331144
1778055557.367,7674912,978.0,76.0,155192808149
1778055558.384,7674912,978.0,75.0,155258220335
1778055559.399,7674912,979.0,76.0,155323634047
1778055560.417,7674912,979.0,77.0,155390089566
1778055561.435,7674912,980.0,75.0,155455708416
1778055562.448,7701760,980.0,79.0,155527998453
1778055563.461,7701760,980.0,79.0,155593246150
1778055564.473,7701760,981.0,79.0,155658789805
1778055565.486,7701760,981.0,79.0,155724430262
1778055566.499,7701760,981.0,78.0,155790085185
1778055567.511,7701760,981.0,78.0,155855887567
1778055568.528,7701760,982.0,76.0,155920148572
1778055569.544,7701760,982.0,77.0,155986130398
1778055570.56,7701760,982.0,75.0,156051845196
1778055571.577,7701760,983.0,75.0,156117634151
1778055572.595,7701760,983.0,77.0,156183556651
1778055573.615,7701760,983.0,77.0,156249662866
1778055574.628,7701760,984.0,75.0,156315259194
1778055575.645,7701760,984.0,76.0,156381253044
1778055576.662,7701760,984.0,76.0,156447248114
1778055577.68,7701760,984.0,77.0,156513176290
1778055578.692,7726372,985.0,76.0,156583107202
1778055579.703,7726372,985.0,78.0,156648354228
1778055580.715,7726372,985.0,79.0,156714007563
1778055581.727,7726372,985.0,79.0,156779645884
1778055582.738,7726372,986.0,76.0,156845220545
1778055583.749,7726372,986.0,78.0,156910665934
1778055584.763,7726372,986.0,76.0,156976177912
1778055585.78,7726372,986.0,75.0,157040903455
1778055586.797,7754088,986.0,75.0,157106075407
1778055587.814,7754088,987.0,77.0,157171980268
1778055588.83,7754088,987.0,77.0,157237715939
1778055589.842,7754276,987.0,83.0,157307156496
1778055590.852,7754276,987.0,76.0,157372959062
1778055591.864,7754276,987.0,78.0,157438335543
1778055592.876,7754276,988.0,79.0,157503971483
1778055593.887,7754276,988.0,79.0,157569665041
1778055594.899,7754276,988.0,79.0,157635375322
1778055595.913,7754276,988.0,79.0,157701119294
1778055596.924,7754276,988.0,81.0,157766960617
1778055597.939,7754276,988.0,76.0,157831243717
1778055598.955,7754276,989.0,76.0,157896893329
1778055599.971,7754276,989.0,77.0,157962397006
1778055600.983,7780064,989.0,83.0,158030612896
1778055601.995,7780064,989.0,79.0,158096503047
1778055603.007,7780064,989.0,77.0,158162255320
1778055604.02,7780064,989.0,78.0,158228069605
1778055605.034,7780064,990.0,77.0,158293738382
1778055606.047,7780064,990.0,78.0,158359692864
1778055607.064,7780064,983.0,75.0,158423991589
1778055608.08,7780064,983.0,77.0,158489423062
1778055609.097,7780064,983.0,77.0,158555028790
1778055610.114,7780064,984.0,76.0,158620766903
1778055611.132,7780064,984.0,77.0,158686580699
1778055612.149,7780064,984.0,76.0,158752285365
1778055613.167,7780064,984.0,77.0,158818092509
1778055614.183,7780064,985.0,78.0,158883874933
1778055615.201,7780064,985.0,76.0,158950042915
1778055616.219,7780064,985.0,76.0,159016233908
1778055617.232,7804408,985.0,79.0,159089516741
1778055618.245,7804408,985.0,79.0,159154687838
1778055619.256,7804408,985.0,78.0,159219970447
1778055620.269,7804408,986.0,80.0,159285791934
1778055621.281,7804408,986.0,81.0,159351065387
1778055622.298,7804408,986.0,74.0,159416137486
1778055623.314,7846336,986.0,76.0,159479812861
1778055624.332,7846336,986.0,77.0,159546082405
1778055625.35,7846336,986.0,76.0,159612955891
1778055626.367,7846336,987.0,77.0,159679927155
1778055627.381,7846336,987.0,78.0,159746055099
1778055628.393,7846388,987.0,78.0,159813251399
1778055629.405,7846388,987.0,78.0,159878853343
1778055630.417,7846388,987.0,78.0,159944293971
1778055631.429,7846388,987.0,79.0,160010089030
1778055632.44,7846388,987.0,79.0,160075547114
1778055633.452,7846388,988.0,81.0,160141206980
1778055634.464,7846388,988.0,79.0,160206786768
1778055635.476,7846388,988.0,79.0,160272572000
1778055636.492,7846388,988.0,77.0,160336649351
1778055637.509,7846388,988.0,75.0,160402079054
1778055638.524,7846388,988.0,77.0,160467334930
1778055639.541,7846388,988.0,80.0,160532882613
1778055640.56,7846388,989.0,77.0,160598316833
1778055641.578,7846388,989.0,75.0,160663832412
1778055642.593,7846388,989.0,75.0,160729191193
1778055643.603,7867748,989.0,89.0,160801783414
1778055644.615,7867748,989.0,79.0,160868621134
1778055645.627,7867748,989.0,78.0,160934336664
1778055646.639,7867748,989.0,79.0,160999645273
1778055647.651,7867748,990.0,80.0,161065133265
1778055648.662,7867748,990.0,78.0,161130751505
1778055649.674,7867748,990.0,78.0,161196174555
1778055650.69,7867748,990.0,77.0,161260392897
1778055651.707,7867748,990.0,76.0,161326003569
1778055652.724,7867748,990.0,75.0,161391866071
1778055653.738,7867748,990.0,77.0,161458717035
1778055654.754,7867748,990.0,76.0,161525040169
1778055655.771,7867748,991.0,75.0,161591104941
1778055656.788,7867748,991.0,75.0,161657181676
1778055657.801,7867748,991.0,75.0,161722948170
1778055658.819,7867748,991.0,76.0,161788648320
1778055659.831,7890860,991.0,85.0,161854515583
1778055660.843,7893356,991.0,79.0,161922282072
1778055661.855,7893388,991.0,77.0,161987590071
1778055662.867,7893628,991.0,79.0,162053304746
1778055663.879,7893628,991.0,78.0,162118961561
1778055664.891,7893628,991.0,79.0,162184710904
1778055665.904,7893628,992.0,79.0,162250412091
1778055666.917,7893628,992.0,78.0,162316127011
1778055667.933,7893628,992.0,76.0,162380483779
1778055668.95,7893628,992.0,75.0,162446141326
1778055669.967,7910020,992.0,77.0,162511015977
1778055670.984,7910020,992.0,76.0,162576663087
1778055672.001,7910020,992.0,75.0,162642287064
1778055673.017,7910020,992.0,78.0,162707682039
1778055674.037,7910020,992.0,77.0,162772929247
1778055675.055,7910020,992.0,75.0,162838536684
1778055676.067,7921524,988.0,81.0,162913920158
1778055677.08,7921528,988.0,81.0,162978998788
1778055678.091,7921560,988.0,79.0,163044187525
1778055679.103,7921560,988.0,81.0,163109809549
1778055680.115,7921560,988.0,79.0,163175451776
1778055681.125,7921560,988.0,75.0,163240643199
1778055682.136,7921560,988.0,76.0,163306254359
1778055683.148,7921560,989.0,79.0,163371783427
1778055684.161,7921560,989.0,76.0,163436092039
1778055685.177,7921560,989.0,76.0,163502201367
1778055686.194,7921560,989.0,76.0,163568307216
1778055687.207,7921560,989.0,76.0,163634115153
1778055688.225,7921560,989.0,75.0,163700316155
1778055689.238,7948452,989.0,78.0,163767693790
1778055690.25,7948452,989.0,79.0,163833172749
1778055691.261,7948452,989.0,76.0,163898819126
1778055692.274,7948452,990.0,79.0,163964549487
