elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778055794.767,13224,0.0,64.0,170594471236
1778055795.775,135992,100.0,78.0,170625855555
1778055796.783,7381692,156.0,67.0,170661410395
1778055797.794,7456928,277.0,88.0,170711066335
1778055798.806,7486892,461.0,79.0,170801124637
1778055799.82,7493660,571.0,70.0,170852460870
1778055800.832,7493660,645.0,79.0,170916221816
1778055801.843,7493792,697.0,78.0,170981595794
1778055802.855,7494324,736.0,79.0,171047142806
1778055803.867,7494324,767.0,79.0,171112610046
1778055804.879,7494324,791.0,77.0,171178291030
1778055805.895,7497396,811.0,75.0,171242582369
1778055806.913,7497396,828.0,75.0,171308643541
1778055807.93,7497396,843.0,75.0,171374698303
1778055808.947,7497396,855.0,75.0,171440841994
1778055809.962,7497396,866.0,75.0,171506621427
1778055810.976,7497396,875.0,77.0,171571859664
1778055811.987,7517972,883.0,79.0,171639966179
1778055812.999,7517972,890.0,78.0,171705421272
1778055814.011,7517972,896.0,78.0,171771072105
1778055815.022,7517972,902.0,81.0,171836697609
1778055816.033,7517972,907.0,76.0,171902243828
1778055817.046,7517972,912.0,78.0,171968056525
1778055818.062,7517972,878.0,77.0,172032116298
1778055819.08,7517972,884.0,76.0,172097564067
1778055820.098,7517972,889.0,77.0,172163106258
1778055821.115,7517972,893.0,77.0,172228688243
1778055822.133,7517972,898.0,76.0,172294287990
1778055823.152,7517972,902.0,77.0,172360004008
1778055824.17,7517972,906.0,77.0,172425646907
1778055825.187,7517972,909.0,77.0,172491170665
1778055826.206,7517972,913.0,77.0,172556809596
1778055827.219,7536900,916.0,90.0,172629022057
1778055828.23,7536900,918.0,79.0,172697754242
1778055829.243,7536900,921.0,79.0,172763116746
1778055830.255,7536900,924.0,78.0,172828655702
1778055831.265,7536900,926.0,78.0,172893815020
1778055832.278,7536900,928.0,79.0,172959593538
1778055833.292,7536900,930.0,76.0,173023675710
1778055834.308,7536900,932.0,77.0,173089540471
1778055835.325,7571896,934.0,77.0,173155577655
1778055836.343,7571896,936.0,77.0,173221692415
1778055837.36,7571896,938.0,77.0,173287749192
1778055838.372,7577008,939.0,82.0,173354720395
1778055839.384,7577008,941.0,78.0,173420675792
1778055840.396,7577008,943.0,79.0,173486170498
1778055841.409,7577008,944.0,79.0,173551865398
1778055842.421,7577008,945.0,79.0,173617483028
1778055843.433,7577008,947.0,78.0,173683289744
1778055844.446,7577008,948.0,77.0,173748868800
1778055845.46,7577008,949.0,76.0,173814667521
