elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778056140.892,12772,0.0,65.0,192974512087
1778056141.901,127668,100.0,73.0,193005685530
1778056142.918,7481984,129.0,72.0,193039425312
1778056143.93,7559004,284.0,88.0,193093514407
1778056144.942,7588968,466.0,90.0,193191783015
1778056145.952,7595736,575.0,88.0,193287143367
1778056146.967,7595736,648.0,81.0,193379872194
1778056148.011,7595868,704.0,66.0,193437775549
1778056149.025,7596400,743.0,78.0,193494667250
1778056150.039,7614368,773.0,79.0,193560461454
1778056151.058,7614368,798.0,73.0,193625428145
1778056152.071,7614368,749.0,76.0,193689816042
1778056153.089,7614368,770.0,75.0,193754955890
1778056154.107,7614368,787.0,75.0,193819872777
1778056155.125,7614368,803.0,75.0,193884965933
1778056156.142,7614368,816.0,75.0,193950118598
1778056157.164,7614368,828.0,78.0,194016057516
1778056158.181,7664764,838.0,81.0,194090576674
1778056159.193,7664764,847.0,78.0,194155757598
1778056160.217,7664764,856.0,79.0,194222046369
1778056161.232,7664764,864.0,78.0,194287643735
1778056162.245,7664764,870.0,78.0,194353101820
1778056163.257,7664764,876.0,78.0,194418832120
1778056164.27,7664764,882.0,74.0,194482553087
1778056165.288,7664764,887.0,74.0,194549120544
1778056166.309,7664764,892.0,78.0,194615447217
1778056167.332,7664764,895.0,76.0,194681772060
1778056168.349,7664764,899.0,77.0,194747947366
1778056169.368,7664764,903.0,75.0,194814075554
1778056170.385,7664764,907.0,74.0,194879325265
1778056171.403,7664764,910.0,74.0,194944568323
1778056172.421,7664764,914.0,74.0,195009801921
1778056173.439,7664764,917.0,74.0,195074976864
1778056174.452,7710956,919.0,77.0,195146643794
1778056175.465,7710956,922.0,78.0,195212270335
1778056176.477,7710956,924.0,76.0,195277649502
1778056177.489,7710956,927.0,78.0,195343393596
1778056178.501,7710956,929.0,78.0,195408919795
1778056179.513,7710956,931.0,78.0,195474622935
1778056180.53,7710956,933.0,75.0,195538233856
1778056181.547,7742456,935.0,77.0,195603731003
1778056182.578,7742456,937.0,77.0,195672291252
1778056183.593,7742456,939.0,75.0,195738032051
1778056184.609,7742456,940.0,77.0,195803425621
1778056185.627,7769644,942.0,77.0,195872125519
1778056186.639,7769644,944.0,79.0,195938179427
1778056187.652,7769644,945.0,79.0,196003803038
1778056188.673,7769644,946.0,79.0,196069996045
1778056189.685,7769644,947.0,78.0,196135538052
1778056190.698,7769644,949.0,78.0,196201216107
1778056191.71,7769644,950.0,79.0,196267072933
1778056192.727,7769644,951.0,73.0,196332378430
1778056193.745,7769644,952.0,78.0,196397722318
1778056194.762,7769644,954.0,75.0,196463900371
1778056195.779,7769644,955.0,76.0,196530112054
1778056196.796,7769644,956.0,75.0,196596236702
1778056197.814,7769644,957.0,76.0,196662453329
1778056198.831,7769644,958.0,75.0,196727915076
1778056199.849,7769644,959.0,75.0,196793095451
1778056200.861,7807024,960.0,78.0,196862547544
1778056201.873,7807024,960.0,77.0,196928061109
1778056202.885,7807024,961.0,78.0,196993635282
1778056203.898,7807024,962.0,75.0,197059283307
1778056204.91,7807024,963.0,78.0,197125027218
1778056205.926,7810096,963.0,77.0,197189242081
1778056206.953,7810096,964.0,78.0,197254811737
1778056207.97,7810096,964.0,75.0,197319404162
1778056208.988,7810096,965.0,75.0,197384472599
1778056210.007,7810096,966.0,76.0,197449818440
1778056211.022,7810096,967.0,75.0,197515228917
1778056212.041,7810096,967.0,75.0,197580310599
1778056213.059,7810096,968.0,77.0,197645546943
1778056214.077,7810096,956.0,75.0,197710650231
1778056215.094,7810096,956.0,77.0,197776098855
1778056216.106,7852508,957.0,90.0,197853587670
1778056217.118,7852508,958.0,78.0,197923134184
1778056218.13,7852508,958.0,79.0,197988177292
1778056219.142,7852508,959.0,78.0,198053403870
1778056220.154,7852508,960.0,78.0,198118792008
1778056221.171,7852508,960.0,75.0,198182426611
1778056222.189,7852508,961.0,75.0,198247711844
1778056223.208,7852508,962.0,75.0,198312965950
1778056224.221,7852508,962.0,76.0,198378246666
