elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778056471.953,12292,0.0,70.0,214466479773
1778056472.962,3238508,101.0,75.0,214499815991
1778056473.974,4723272,176.0,71.0,214532042288
1778056474.985,4855376,449.0,88.0,214616242084
1778056475.997,4855684,589.0,86.0,214707349761
1778056477.008,4855684,673.0,90.0,214799019876
1778056478.02,4855684,729.0,81.0,214877305808
1778056479.032,4855684,770.0,79.0,214942427285
1778056480.044,4855684,800.0,79.0,215007717584
1778056481.057,4907144,822.0,78.0,215072605479
1778056482.071,4910052,765.0,75.0,215137663845
1778056483.085,4910052,785.0,76.0,215200329578
1778056484.101,4910052,803.0,75.0,215264113717
1778056485.123,4910052,819.0,78.0,215328225980
1778056486.137,4910052,832.0,77.0,215391512439
1778056487.171,4910052,842.0,86.0,215457240542
1778056488.185,4910052,850.0,75.0,215521802266
1778056489.204,4910052,859.0,78.0,215585573099
1778056490.217,4910052,867.0,75.0,215648888672
1778056491.23,4910052,875.0,75.0,215712419759
1778056492.244,4910052,881.0,77.0,215775702861
1778056493.257,4910052,887.0,77.0,215839151979
1778056494.275,4910052,893.0,77.0,215903123495
1778056495.288,4910052,898.0,75.0,215966472270
1778056496.302,4910052,902.0,78.0,216029655458
1778056497.313,4980032,905.0,85.0,216103661433
1778056498.324,4980032,909.0,81.0,216194092476
1778056499.337,4980032,913.0,78.0,216259279565
1778056500.35,4980032,916.0,79.0,216324548258
1778056501.362,4980032,919.0,79.0,216389855525
1778056502.374,5031492,922.0,79.0,216455102550
1778056503.387,5031492,925.0,75.0,216518454744
1778056504.399,5031492,927.0,77.0,216581539360
1778056505.421,5031492,928.0,79.0,216646544016
1778056506.438,5031492,931.0,75.0,216710132842
1778056507.453,5031492,933.0,75.0,216773358083
1778056508.469,5031492,935.0,77.0,216836440930
1778056509.485,5031492,937.0,77.0,216899683016
1778056510.502,5031492,939.0,75.0,216962785150
1778056511.515,5031492,941.0,75.0,217026050002
1778056512.529,5031492,943.0,74.0,217088756446
1778056513.546,5031492,944.0,76.0,217152098386
1778056514.56,5031492,946.0,75.0,217215275958
1778056515.575,5031492,948.0,74.0,217278309183
1778056516.586,5098676,948.0,76.0,217340248966
1778056517.604,5101388,950.0,89.0,217432929271
1778056518.616,5101388,951.0,79.0,217509799496
1778056519.628,5101388,952.0,80.0,217574888136
1778056520.64,5101388,953.0,79.0,217639848114
1778056521.652,5101388,954.0,78.0,217705210068
1778056522.677,5101388,955.0,81.0,217770943054
1778056523.689,5152848,956.0,77.0,217836846450
1778056524.702,5153060,957.0,77.0,217900659702
1778056525.715,5153060,958.0,77.0,217964008905
1778056526.729,5153060,959.0,75.0,218028513012
1778056527.743,5153060,960.0,75.0,218093087920
1778056528.756,5153060,961.0,75.0,218157667467
1778056529.769,5153060,962.0,76.0,218222985170
1778056530.782,5153060,963.0,75.0,218287642537
1778056531.796,5221864,963.0,79.0,218365959170
1778056532.806,5221864,964.0,74.0,218430603230
1778056533.818,5221864,965.0,77.0,218495763525
1778056534.83,5221864,965.0,77.0,218561012748
1778056535.842,5221864,966.0,78.0,218626720099
1778056536.854,5221864,967.0,79.0,218692268088
1778056537.867,5273324,967.0,79.0,218757816016
1778056538.88,5273324,968.0,75.0,218821365658
1778056539.895,5273324,969.0,77.0,218884597368
1778056540.914,5273324,969.0,75.0,218948558752
1778056541.927,5273324,970.0,75.0,219011654965
1778056542.944,5273324,971.0,77.0,219074962970
1778056543.958,5273324,971.0,77.0,219138613991
1778056544.975,5273324,972.0,77.0,219201846007
1778056545.989,5273324,972.0,75.0,219265008138
1778056547.002,5273324,973.0,77.0,219328575846
1778056548.015,5273324,973.0,75.0,219391775635
1778056549.028,5273324,974.0,74.0,219454982139
1778056550.04,5273324,974.0,77.0,219518256879
1778056551.055,5273324,974.0,77.0,219583714719
1778056552.068,5273324,962.0,75.0,219646851765
1778056553.08,5342956,963.0,85.0,219733801920
1778056554.092,5342956,963.0,81.0,219812379722
1778056555.105,5342956,964.0,78.0,219877506326
1778056556.117,5342956,964.0,76.0,219942535883
1778056557.129,5394416,965.0,78.0,220008057200
1778056558.142,5394416,965.0,75.0,220071192231
1778056559.162,5394416,966.0,77.0,220136098010
1778056560.174,5394416,966.0,77.0,220200177313
1778056561.188,5394416,967.0,76.0,220263359281
1778056562.203,5394416,967.0,75.0,220326589404
1778056563.22,5394416,968.0,75.0,220390108407
1778056564.233,5394416,968.0,75.0,220453224761
1778056565.244,5458088,968.0,90.0,220534680302
1778056566.256,5458088,969.0,81.0,220602426650
1778056567.272,5458088,969.0,78.0,220667941985
