elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778056925.154,13360,0.0,68.0,243824497206
1778056926.164,127800,101.0,68.0,243855188046
1778056927.179,7346912,135.0,72.0,243889467499
1778056928.19,7428840,282.0,88.0,243942420061
1778056929.202,7458804,464.0,88.0,244040150402
1778056930.215,7465572,571.0,79.0,244118329706
1778056931.227,7465572,644.0,78.0,244174122166
1778056932.239,7465704,697.0,79.0,244239449513
1778056933.251,7466236,736.0,79.0,244305032536
1778056934.262,7466236,767.0,76.0,244370223958
1778056935.274,7471292,791.0,78.0,244435734838
1778056936.29,7474364,811.0,75.0,244500110955
1778056937.308,7474364,829.0,77.0,244565637032
1778056938.325,7474364,843.0,75.0,244631129724
1778056939.343,7474364,855.0,75.0,244695204267
1778056940.36,7474364,866.0,76.0,244760642148
1778056941.377,7474364,875.0,76.0,244826705822
1778056942.391,7488632,883.0,78.0,244899397225
1778056943.405,7488632,891.0,79.0,244964697046
1778056944.417,7488632,897.0,78.0,245030248941
1778056945.43,7488632,903.0,79.0,245095892450
1778056946.443,7488632,908.0,79.0,245161510629
1778056947.455,7488632,912.0,79.0,245227157617
1778056948.47,7488632,917.0,76.0,245291378339
1778056949.487,7488632,921.0,76.0,245357444148
1778056950.508,7488632,925.0,77.0,245423866830
1778056951.526,7488632,928.0,75.0,245489493920
1778056952.546,7488632,932.0,76.0,245555643653
1778056953.564,7488632,935.0,77.0,245621541434
1778056954.582,7488632,937.0,75.0,245686810127
1778056955.6,7488632,940.0,76.0,245752859213
1778056956.617,7488632,942.0,75.0,245818629980
1778056957.629,7501828,944.0,87.0,245888018657
1778056958.641,7501828,946.0,79.0,245954691155
1778056959.654,7501828,948.0,79.0,246020291573
1778056960.668,7501828,950.0,79.0,246086037986
1778056961.689,7501828,952.0,81.0,246152235815
1778056962.701,7501828,953.0,77.0,246217699026
1778056963.72,7501828,955.0,73.0,246283190192
1778056964.738,7501828,957.0,75.0,246347859338
1778056965.756,7535884,958.0,76.0,246412706034
