elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778057260.313,13372,0.0,72.0,3407401128
1778057261.322,3498856,101.0,75.0,3438816636
1778057262.336,4535084,169.0,72.0,3468120027
1778057263.347,4666612,442.0,88.0,3552622313
1778057264.358,4666920,584.0,83.0,3644419381
1778057265.37,4666920,667.0,91.0,3737051102
1778057266.383,4666920,724.0,79.0,3814612243
1778057267.398,4666920,766.0,81.0,3879998001
1778057268.409,4666920,796.0,81.0,3945403290
1778057269.421,4718380,819.0,78.0,4010735460
1778057270.435,4721288,838.0,77.0,4074640203
1778057271.449,4721288,854.0,77.0,4138182704
1778057272.462,4721288,867.0,76.0,4201919296
1778057273.476,4721288,878.0,75.0,4265230719
1778057274.495,4721288,888.0,76.0,4329182276
1778057275.508,4721288,896.0,76.0,4392902267
1778057276.522,4721288,904.0,77.0,4456244207
1778057277.535,4721288,910.0,77.0,4519455959
1778057278.549,4721288,915.0,76.0,4583082505
1778057279.562,4721288,921.0,76.0,4646462836
1778057280.575,4721288,925.0,77.0,4711453819
1778057281.595,4721288,929.0,77.0,4776458231
1778057282.608,4721288,933.0,76.0,4841040097
1778057283.625,4721288,937.0,77.0,4905650161
1778057284.633,4765604,939.0,77.0,4968700903
1778057285.644,4778048,941.0,88.0,5058542225
1778057286.656,4778048,944.0,78.0,5129445975
1778057287.668,4778048,946.0,82.0,5194621711
1778057288.681,4778048,949.0,78.0,5260227927
1778057289.693,4778048,951.0,80.0,5325558265
1778057290.705,4829508,952.0,78.0,5390799676
1778057291.719,4829508,954.0,77.0,5454025344
1778057292.732,4829508,956.0,77.0,5517325047
1778057293.744,4829508,957.0,78.0,5580866694
1778057294.758,4829508,959.0,77.0,5644571914
1778057295.772,4829508,960.0,77.0,5707975927
1778057296.788,4829508,962.0,77.0,5771869074
1778057297.801,4829508,963.0,76.0,5834992386
1778057298.815,4829508,964.0,77.0,5898238867
1778057299.828,4829508,966.0,77.0,5961754757
1778057300.841,4829508,967.0,77.0,6024876727
1778057301.86,4829508,968.0,78.0,6089059302
1778057302.873,4829508,969.0,77.0,6152261899
1778057303.886,4829508,970.0,76.0,6215450397
1778057304.898,4887896,970.0,81.0,6293546571
1778057305.911,4888228,971.0,80.0,6379075527
1778057306.923,4888228,972.0,78.0,6444257489
1778057307.937,4888228,973.0,79.0,6509524534
1778057308.949,4888228,974.0,81.0,6574673171
1778057309.965,4888228,975.0,78.0,6639952484
1778057310.979,4888228,975.0,78.0,6705795455
1778057311.991,4939688,976.0,77.0,6771148620
1778057313.005,4939900,977.0,75.0,6833971823
1778057314.018,4939900,977.0,77.0,6897155866
1778057315.031,4939900,978.0,78.0,6960414493
1778057316.051,4939900,979.0,77.0,7024204185
1778057317.064,4996208,960.0,82.0,7101521859
1778057318.076,4996208,961.0,79.0,7167631614
1778057319.089,4996208,962.0,78.0,7233086402
1778057320.101,4996208,963.0,78.0,7298457878
1778057321.112,4996208,964.0,74.0,7363686654
1778057322.124,4996208,964.0,79.0,7429319970
1778057323.135,5047668,965.0,78.0,7494872170
