elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1778058164.67,13984,0.0,66.0,62028126730
1778058165.679,3311172,101.0,70.0,62059495241
1778058166.693,4600640,179.0,73.0,62090933698
1778058167.71,4732304,453.0,88.0,62176014229
1778058168.722,4732612,592.0,90.0,62268500931
1778058169.737,4732612,677.0,90.0,62361551108
1778058170.752,4732612,733.0,82.0,62451765843
1778058171.764,4732612,773.0,81.0,62517467701
1778058172.778,4732612,803.0,81.0,62582867497
1778058173.79,4784072,825.0,79.0,62647896932
1778058174.804,4786980,843.0,75.0,62711526958
1778058175.822,4786980,859.0,76.0,62776188230
1778058176.835,4786980,872.0,76.0,62839742755
1778058177.848,4786980,883.0,75.0,62903428017
1778058178.862,4786980,892.0,76.0,62966979429
1778058179.876,4786980,900.0,76.0,63030509845
1778058180.893,4786980,907.0,77.0,63095180150
1778058181.912,4786980,913.0,77.0,63160248587
1778058182.927,4786980,919.0,79.0,63225213020
1778058183.94,4786980,924.0,76.0,63288862577
1778058184.953,4786980,928.0,74.0,63352100025
1778058185.967,4786980,932.0,76.0,63415833809
1778058186.985,4786980,935.0,76.0,63480215297
1778058188.0,4786980,939.0,75.0,63543901169
1778058189.01,4848232,940.0,90.0,63626191181
1778058190.021,4848232,943.0,75.0,63702229744
1778058191.037,4848232,945.0,76.0,63767143030
1778058192.05,4848232,947.0,77.0,63832665872
1778058193.066,4848232,917.0,78.0,63898441766
1778058194.079,4899692,920.0,77.0,63963846811
1778058195.092,4899692,923.0,75.0,64026918243
1778058196.111,4899692,926.0,76.0,64091256702
1778058197.125,4899692,928.0,78.0,64154660653
1778058198.14,4899692,929.0,79.0,64220444298
1778058199.155,4899692,931.0,77.0,64284526715
1778058200.169,4899692,934.0,75.0,64348586793
1778058201.185,4899692,936.0,76.0,64413169025
1778058202.198,4899692,938.0,76.0,64477323585
1778058203.213,4899692,940.0,78.0,64541859125
1778058204.227,4899692,941.0,75.0,64606240064
1778058205.241,4899692,943.0,77.0,64669996126
1778058206.255,4899692,945.0,76.0,64733597770
1778058207.272,4899692,946.0,76.0,64797403332
1778058208.286,4961968,947.0,87.0,64869194957
1778058209.298,4962300,949.0,78.0,64953716286
1778058210.31,4962300,950.0,81.0,65018931451
1778058211.322,4962300,951.0,79.0,65083814708
1778058212.332,4962300,952.0,78.0,65148646939
1778058213.34,4962300,953.0,78.0,65214223065
1778058214.351,4962300,955.0,78.0,65279477964
1778058215.362,5013760,955.0,78.0,65344892836
1778058216.376,5013972,957.0,79.0,65408550815
1778058217.39,5013972,958.0,78.0,65473001639
1778058218.404,5013972,959.0,77.0,65537810982
1778058219.424,5013972,960.0,75.0,65602271632
1778058220.438,5013972,961.0,75.0,65665724412
1778058221.456,5013972,962.0,77.0,65729644048
1778058222.466,5074724,962.0,78.0,65791681365
1778058223.477,5074724,963.0,75.0,65874928405
1778058224.491,5074724,963.0,78.0,65940092179
1778058225.503,5074724,964.0,79.0,66005570954
1778058226.516,5074724,965.0,79.0,66070819078
1778058227.529,5074724,966.0,81.0,66136109438
1778058228.544,5074724,966.0,79.0,66201588336
1778058229.557,5126184,967.0,77.0,66267333284
1778058230.573,5126184,968.0,77.0,66330692253
1778058231.589,5126184,968.0,75.0,66393540054
1778058232.604,5126184,969.0,75.0,66457252354
1778058233.619,5126184,969.0,78.0,66521849417
1778058234.633,5126184,970.0,74.0,66585973399
1778058235.647,5126184,971.0,75.0,66649562592
1778058236.663,5126184,971.0,75.0,66713307851
1778058237.68,5126184,972.0,76.0,66776912424
1778058238.694,5126184,972.0,75.0,66840912749
1778058239.709,5126184,973.0,76.0,66904405384
1778058240.723,5126184,973.0,75.0,66969256841
1778058241.737,5126184,974.0,76.0,67034326316
1778058242.75,5126184,974.0,75.0,67098772440
1778058243.762,5187340,974.0,78.0,67161989869
1778058244.773,5187340,975.0,91.0,67255921757
1778058245.786,5187340,975.0,79.0,67322816544
1778058246.799,5187340,976.0,75.0,67387904512
1778058247.811,5238800,976.0,78.0,67452628773
1778058248.825,5238800,976.0,74.0,67517891362
1778058249.839,5238800,977.0,75.0,67580954616
1778058250.853,5238800,977.0,75.0,67644504441
1778058251.866,5238800,978.0,75.0,67708032782
1778058252.879,5238800,978.0,77.0,67771177030
1778058253.893,5238800,978.0,75.0,67835064745
1778058254.911,5238800,979.0,76.0,67898763495
1778058255.926,5238800,979.0,79.0,67962417568
1778058256.939,5296816,979.0,82.0,68047991263
1778058257.952,5296816,980.0,76.0,68112625435
1778058258.965,5296816,980.0,78.0,68178307640
1778058259.98,5296816,980.0,78.0,68243416116
1778058260.992,5296816,981.0,79.0,68309085260
1778058262.005,5296816,981.0,79.0,68374422861
1778058263.016,5348276,981.0,78.0,68439635340
1778058264.029,5348276,981.0,77.0,68502392504
