run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,paired_cases,quality_ge_q4_rate,json_ge_q4_rate,config_json_valid_rate,q4_json_valid_rate
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,f16/f16,5,0.8,1.0,1.0,0.8
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,q8_0/q8_0,5,0.8,1.0,1.0,0.8
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,q8_0/tbq4,5,0.6,1.0,1.0,0.8
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,tbq4/tbq4,5,0.6,1.0,0.8,0.8
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,f16/f16,5,1.0,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,q8_0/q8_0,5,1.0,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,q8_0/tbq4,5,1.0,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,tbq4/tbq4,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,f16/f16,5,0.6,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,q8_0/q8_0,5,0.4,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,q8_0/tbq4,5,0.4,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,tbq4/tbq4,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,f16/f16,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,q8_0/q8_0,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,q8_0/tbq4,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,tbq4/tbq4,5,1.0,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,f16/f16,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,q8_0/q8_0,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,q8_0/tbq4,5,0.6,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,tbq4/tbq4,5,1.0,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,f16/f16,5,1.0,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,q8_0/q8_0,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,q8_0/tbq4,5,1.0,1.0,1.0,1.0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,tbq4/tbq4,5,0.6,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,f16/f16,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q8_0/q8_0,5,0.4,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q8_0/tbq4,5,0.8,0.8,0.8,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,tbq4/tbq4,5,0.6,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,f16/f16,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q8_0/q8_0,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q8_0/tbq4,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,tbq4/tbq4,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,f16/f16,5,0.2,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q8_0/q8_0,5,0.6,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,q8_0/tbq4,5,0.6,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,tbq4/tbq4,5,0.4,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,f16/f16,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,q8_0/q8_0,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,q8_0/tbq4,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,4096,qwen35_4b,tbq4/tbq4,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,f16/f16,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,q8_0/q8_0,5,0.6,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,q8_0/tbq4,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,gemma4_e4b,tbq4/tbq4,5,0.8,1.0,1.0,1.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,f16/f16,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,q8_0/q8_0,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,q8_0/tbq4,5,1.0,1.0,0.0,0.0
ctx_sweep,fixed,core,x86_axelera_ctx,8192,qwen35_4b,tbq4/tbq4,5,1.0,1.0,0.0,0.0
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,f16/f16,25,0.76,1.0,1.0,0.88
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,q8_0/q8_0,25,0.68,1.0,1.0,0.88
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,q8_0/tbq4,25,0.8,1.0,1.0,0.88
repeat_core8k,llm,core,m4_paper,8192,gemma4_e4b,tbq4/tbq4,25,0.72,1.0,1.0,0.88
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,f16/f16,25,0.76,1.0,1.0,1.0
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,q8_0/q8_0,25,0.76,1.0,1.0,1.0
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,q8_0/tbq4,25,0.84,1.0,1.0,1.0
repeat_core8k,llm,core,m4_paper,8192,qwen35_4b,tbq4/tbq4,25,0.56,1.0,1.0,1.0
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,f16/f16,25,0.84,1.0,1.0,0.96
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,q8_0/q8_0,25,0.92,1.0,1.0,0.96
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,q8_0/tbq4,25,0.88,1.0,1.0,0.96
repeat_core8k,llm,core,x86_axelera_paper,8192,gemma4_e4b,tbq4/tbq4,25,0.8,1.0,1.0,0.96
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,f16/f16,25,1.0,1.0,0.0,0.0
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,q8_0/q8_0,25,1.0,1.0,0.0,0.0
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,q8_0/tbq4,25,1.0,1.0,0.0,0.0
repeat_core8k,llm,core,x86_axelera_paper,8192,qwen35_4b,tbq4/tbq4,25,1.0,1.0,0.0,0.0
suite25_8k,fixed,paper,m4_paper_suite25,8192,gemma4_e4b,f16/f16,25,0.8,1.0,0.96,0.92
suite25_8k,fixed,paper,m4_paper_suite25,8192,gemma4_e4b,q8_0/q8_0,25,0.88,1.0,0.96,0.92
suite25_8k,fixed,paper,m4_paper_suite25,8192,gemma4_e4b,q8_0/tbq4,25,0.84,1.0,1.0,0.92
suite25_8k,fixed,paper,m4_paper_suite25,8192,gemma4_e4b,tbq4/tbq4,25,0.84,0.96,0.96,0.92
suite25_8k,fixed,paper,m4_paper_suite25,8192,qwen35_4b,f16/f16,25,0.76,1.0,1.0,1.0
suite25_8k,fixed,paper,m4_paper_suite25,8192,qwen35_4b,q8_0/q8_0,25,0.84,1.0,1.0,1.0
suite25_8k,fixed,paper,m4_paper_suite25,8192,qwen35_4b,q8_0/tbq4,25,0.76,1.0,1.0,1.0
suite25_8k,fixed,paper,m4_paper_suite25,8192,qwen35_4b,tbq4/tbq4,25,0.72,1.0,1.0,1.0
suite25_8k,fixed,paper,x86_axelera_suite25,8192,gemma4_e4b,f16/f16,25,0.76,1.0,1.0,0.92
suite25_8k,fixed,paper,x86_axelera_suite25,8192,gemma4_e4b,q8_0/q8_0,25,0.76,1.0,1.0,0.92
suite25_8k,fixed,paper,x86_axelera_suite25,8192,gemma4_e4b,q8_0/tbq4,25,0.72,1.0,1.0,0.92
suite25_8k,fixed,paper,x86_axelera_suite25,8192,gemma4_e4b,tbq4/tbq4,25,0.84,1.0,1.0,0.92
suite25_8k,fixed,paper,x86_axelera_suite25,8192,qwen35_4b,f16/f16,25,0.96,1.0,0.0,0.0
suite25_8k,fixed,paper,x86_axelera_suite25,8192,qwen35_4b,q8_0/q8_0,25,0.92,1.0,0.0,0.0
suite25_8k,fixed,paper,x86_axelera_suite25,8192,qwen35_4b,q8_0/tbq4,25,0.92,1.0,0.0,0.0
suite25_8k,fixed,paper,x86_axelera_suite25,8192,qwen35_4b,tbq4/tbq4,25,0.92,1.0,0.0,0.0
