model,kv_type,mode,depth,t_per_s
gemma2_9b,f16,tg,0,4.900
gemma2_9b,f16,tg,2048,3.810
gemma2_9b,f16,tg,4096,2.950
gemma2_9b,f16,tg,8192,2.370
gemma2_9b,q4_0,tg,0,4.900
gemma2_9b,q4_0,tg,2048,3.970
gemma2_9b,q4_0,tg,4096,3.350
gemma2_9b,q4_0,tg,8192,2.870
gemma2_9b,q8_0,tg,0,4.900
gemma2_9b,q8_0,tg,2048,4.160
gemma2_9b,q8_0,tg,4096,3.540
gemma2_9b,q8_0,tg,8192,3.030
gemma2_9b,tbq2,tg,0,4.840
gemma2_9b,tbq2,tg,2048,3.570
gemma2_9b,tbq2,tg,4096,2.890
gemma2_9b,tbq2,tg,8192,2.380
gemma2_9b,tbq3,tg,0,4.800
gemma2_9b,tbq3,tg,2048,3.290
gemma2_9b,tbq3,tg,4096,2.560
gemma2_9b,tbq3,tg,8192,2.050
gemma2_9b,tbq4,tg,0,4.910
gemma2_9b,tbq4,tg,2048,4.550
gemma2_9b,tbq4,tg,4096,4.190
gemma2_9b,tbq4,tg,8192,3.830
llama3.1_8b,f16,tg,0,6.140
llama3.1_8b,f16,tg,2048,5.220
llama3.1_8b,f16,tg,4096,4.520
llama3.1_8b,f16,tg,8192,2.980
llama3.1_8b,q4_0,tg,0,6.270
llama3.1_8b,q4_0,tg,2048,5.350
llama3.1_8b,q4_0,tg,4096,4.660
llama3.1_8b,q4_0,tg,8192,3.700
llama3.1_8b,q8_0,tg,0,6.280
llama3.1_8b,q8_0,tg,2048,5.620
llama3.1_8b,q8_0,tg,4096,5.020
llama3.1_8b,q8_0,tg,8192,3.930
llama3.1_8b,tbq2,tg,0,6.240
llama3.1_8b,tbq2,tg,2048,4.660
llama3.1_8b,tbq2,tg,4096,3.790
llama3.1_8b,tbq2,tg,8192,2.730
llama3.1_8b,tbq3,tg,0,6.190
llama3.1_8b,tbq3,tg,2048,4.280
llama3.1_8b,tbq3,tg,4096,3.350
llama3.1_8b,tbq3,tg,8192,2.300
llama3.1_8b,tbq4,tg,0,6.280
llama3.1_8b,tbq4,tg,2048,5.910
llama3.1_8b,tbq4,tg,4096,5.590
llama3.1_8b,tbq4,tg,8192,4.980
qwen2.5_7b,f16,tg,0,6.650
qwen2.5_7b,f16,tg,2048,6.210
qwen2.5_7b,f16,tg,4096,5.620
qwen2.5_7b,f16,tg,8192,4.530
qwen2.5_7b,q4_0,tg,0,6.690
qwen2.5_7b,q4_0,tg,2048,6.340
qwen2.5_7b,q4_0,tg,4096,6.090
qwen2.5_7b,q4_0,tg,8192,5.630
qwen2.5_7b,q8_0,tg,0,6.650
qwen2.5_7b,q8_0,tg,2048,6.390
qwen2.5_7b,q8_0,tg,4096,6.130
qwen2.5_7b,q8_0,tg,8192,5.540
qwen2.5_7b,tbq2,tg,0,6.640
qwen2.5_7b,tbq2,tg,2048,6.230
qwen2.5_7b,tbq2,tg,4096,5.880
qwen2.5_7b,tbq2,tg,8192,5.320
qwen2.5_7b,tbq3,tg,0,6.630
qwen2.5_7b,tbq3,tg,2048,6.060
qwen2.5_7b,tbq3,tg,4096,5.600
qwen2.5_7b,tbq3,tg,8192,4.880
qwen2.5_7b,tbq4,tg,0,6.650
qwen2.5_7b,tbq4,tg,2048,6.270
qwen2.5_7b,tbq4,tg,4096,5.980
qwen2.5_7b,tbq4,tg,8192,5.460
