model,kv_type,mode,depth,t_per_s
gemma2_9b,f16,tg,0,4.900
gemma2_9b,f16,tg,2048,3.810
gemma2_9b,f16,tg,4096,2.950
gemma2_9b,f16,tg,8192,2.370
gemma2_9b,q4_0,tg,0,4.900
gemma2_9b,q4_0,tg,2048,3.970
gemma2_9b,q4_0,tg,4096,3.350
gemma2_9b,q4_0,tg,8192,2.870
gemma2_9b,q8_0,tg,0,4.900
gemma2_9b,q8_0,tg,2048,4.160
gemma2_9b,q8_0,tg,4096,3.540
gemma2_9b,q8_0,tg,8192,3.030
gemma2_9b,tbq4,tg,0,4.910
gemma2_9b,tbq4,tg,2048,4.550
gemma2_9b,tbq4,tg,4096,4.190
gemma2_9b,tbq4,tg,8192,3.550
llama3.1_8b,f16,tg,0,6.140
llama3.1_8b,f16,tg,2048,5.220
llama3.1_8b,f16,tg,4096,4.520
llama3.1_8b,f16,tg,8192,2.980
llama3.1_8b,q4_0,tg,0,6.180
llama3.1_8b,q4_0,tg,2048,5.770
llama3.1_8b,q4_0,tg,4096,5.480
llama3.1_8b,q4_0,tg,8192,4.870
llama3.1_8b,q8_0,tg,0,6.100
llama3.1_8b,q8_0,tg,2048,5.860
llama3.1_8b,q8_0,tg,4096,5.600
llama3.1_8b,q8_0,tg,8192,4.640
llama3.1_8b,tbq4,tg,0,6.170
llama3.1_8b,tbq4,tg,2048,5.540
llama3.1_8b,tbq4,tg,4096,5.060
llama3.1_8b,tbq4,tg,8192,4.250
qwen2.5_7b,f16,tg,0,6.650
qwen2.5_7b,f16,tg,2048,6.210
qwen2.5_7b,f16,tg,4096,5.620
qwen2.5_7b,f16,tg,8192,4.530
qwen2.5_7b,q4_0,tg,0,6.690
qwen2.5_7b,q4_0,tg,2048,6.340
qwen2.5_7b,q4_0,tg,4096,6.090
qwen2.5_7b,q4_0,tg,8192,5.630
qwen2.5_7b,q8_0,tg,0,6.650
qwen2.5_7b,q8_0,tg,2048,6.390
qwen2.5_7b,q8_0,tg,4096,6.130
qwen2.5_7b,q8_0,tg,8192,5.540
qwen2.5_7b,tbq4,tg,0,6.640
qwen2.5_7b,tbq4,tg,2048,6.130
qwen2.5_7b,tbq4,tg,4096,5.720
qwen2.5_7b,tbq4,tg,8192,4.990
