| model                          |       size |     params | backend    | threads | type_k | type_v | fa |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | -----: | -----: | -: | --------------: | -------------------: |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |    f16 |  1 |           tg128 |          0.35 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |    f16 |  1 |   tg128 @ d4096 |          0.36 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |    f16 |  1 |   tg128 @ d8192 |          0.35 ± 0.01 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq4 |  1 |           tg128 |          0.36 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq4 |  1 |   tg128 @ d4096 |          0.36 ± 0.01 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq4 |  1 |   tg128 @ d8192 |          0.35 ± 0.01 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq3 |  1 |           tg128 |          0.36 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq3 |  1 |   tg128 @ d4096 |          0.33 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq3 |  1 |   tg128 @ d8192 |          0.30 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq2 |  1 |           tg128 |          0.36 ± 0.01 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq2 |  1 |   tg128 @ d4096 |          0.35 ± 0.01 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |    f16 |   tbq2 |  1 |   tg128 @ d8192 |          0.32 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |    f16 |  1 |           tg128 |          0.36 ± 0.01 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |    f16 |  1 |   tg128 @ d4096 |          0.36 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |    f16 |  1 |   tg128 @ d8192 |          0.33 ± 0.02 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |   tbq4 |  1 |           tg128 |          0.36 ± 0.02 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |   tbq4 |  1 |   tg128 @ d4096 |          0.36 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |   tbq4 |  1 |   tg128 @ d8192 |          0.35 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |   tbq3 |  1 |           tg128 |          4.94 ± 2.55 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |   tbq3 |  1 |   tg128 @ d4096 |          3.62 ± 0.01 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |   tbq3 |  1 |   tg128 @ d8192 |          2.48 ± 0.00 |
| llama 7B Q4_K - Medium         |   4.07 GiB |     7.25 B | CPU        |      12 |   tbq4 |   tbq2 |  1 |           tg128 |          6.72 ± 0.00 |
